"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16886","16591","34","261"
"2","Chengalpattu","172639","169294","830","2515"
"3","Chennai","555928","546158","1200","8570"
"4","Coimbatore","247933","244369","1131","2433"
"5","Cuddalore","64248","63212","166","870"
"6","Dharmapuri","28591","28147","167","277"
"7","Dindigul","33145","32443","54","648"
"8","Erode","105009","103541","776","692"
"9","Kallakurichi","31460","31133","117","210"
"10","Kancheepuram","75247","73689","297","1261"
"11","Kanyakumari","62564","61305","209","1050"
"12","Karur","24309","23720","229","360"
"13","Krishnagiri","43704","43202","152","350"
"14","Madurai","75333","74021","134","1178"
"15","Mayiladuthurai","23320","22964","40","316"
"16","Nagapattinam","21178","20716","110","352"
"17","Namakkal","52706","51731","473","502"
"18","Nilgiris","33758","33341","204","213"
"19","Perambalur","12086","11820","22","244"
"20","Pudukottai","30254","29755","82","417"
"21","Ramanathapuram","20589","20204","26","359"
"22","Ranipet","43497","42656","66","775"
"23","Salem","100487","98213","585","1689"
"24","Sivagangai","20293","19972","113","208"
"25","Tenkasi","27379","26864","30","485"
"26","Thanjavur","75711","74341","388","982"
"27","Theni","43590","43046","23","521"
"28","Thirupathur","29350","28666","58","626"
"29","Thiruvallur","119730","117537","350","1843"
"30","Thiruvannamalai","55078","54289","121","668"
"31","Thiruvarur","41663","40997","216","450"
"32","Thoothukudi","56406","55896","101","409"
"33","Tirunelveli","49492","48929","130","433"
"34","Tiruppur","96102","94446","673","983"
"35","Trichy","77907","76469","376","1062"
"36","Vellore","50001","48691","177","1133"
"37","Villupuram","45946","45494","96","356"
"38","Virudhunagar","46344","45741","55","548"
"39","Airport Surveillance 
(International)","1028","1025","2","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,12,404","26,66,140","10,013","36,251"
