"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4846","4387","29","4","426"
"Bageshwar","2157","2052","3","0","102"
"Chamoli","3339","3201","11","3","124"
"Champawat","1986","1948","11","2","25"
"Dehradun","38494","37576","267","203","448"
"Haridwar","13998","13686","38","29","245"
"Nainital","13062","12689","287","31","55"
"Pauri Garhwal","5566","4510","10","20","1026"
"Pithoragarh","2718","2522","39","4","153"
"Rudraprayag","3028","2843","43","2","140"
"Tehri Garhwal","2600","2136","8","8","448"
"U.S. Nagar","9282","8905","33","6","338"
"Uttarkashi","1904","1687","25","6","186"
"Total","102980","98142","804","318","3716"
