,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
15,15,15,15,15,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Lohardaga,,,,,794,1270,,,,,,5364.0,13798.0,461738,,,,,,,,207643,135360,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
16,16,16,16,16,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Pakur,,,,,1481,1865,,,,,,11626.0,14380.0,899200,,,,,,,,512134,217491,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
17,17,17,17,17,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Palamu,,,,,3266,4395,,,,,,29451.0,38248.0,1936319,,,,,,,,932524,573093,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
18,18,18,18,18,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Ramgarh,,,,,736,4649,,,,,,4425.0,25872.0,949159,,,,,,,,542963,283723,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
19,19,19,19,19,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Ranchi,,,,,3925,8226,,,,,,23773.0,53293.0,2912022,,,,,,,,1633036,911852,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
20,20,20,20,20,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Sahibganj,,,,,1566,3496,,,,,,13619.0,20226.0,1150038,,,,,,,,633131,278674,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
21,21,21,21,21,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Saraikela-Kharsawan,,,,,1532,2999,,,,,,12676.0,23185.0,1063458,,,,,,,,556182,275857,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
22,22,22,22,22,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Simdega,,,,,1189,3323,,,,,,9134.0,28424.0,599813,,,,,,,,304234,201543,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
23,23,23,23,23,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,Unknown,15.0,1.0,13.0,,0,0,83.0,83.0,1.0,96.0,,0.0,0.0,0,,,,349450.0,5142.0,344186.0,,0,0,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
24,24,24,24,24,2021-12-14,JH,15,1,13,0,59920,116427,83,83.0,1.0,96.0,,410111.0,772456.0,West Singhbhum,,,,,4890,4836,,,,,,27470.0,32828.0,1501619,,,,,,,,757264,389060,2021-12-15 10:20:57.401118,37403000,,,,349450,5142,344186,,17406340,9358550,0,0,0,0,0
