"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235571","232857","56","2658"
"3","Chennai","751755","742342","345","9068"
"4","Coimbatore","329982","327352","13","2617"
"5","Cuddalore","74259","73363","1","895"
"6","Dharmapuri","36191","35908","0","283"
"7","Dindigul","37478","36813","0","665"
"8","Erode","132671","131936","1","734"
"9","Kallakurichi","36521","36306","0","215"
"10","Kancheepuram","94419","93106","11","1302"
"11","Kanyakumari","86232","85143","4","1085"
"12","Karur","29757","29384","1","372"
"13","Krishnagiri","59636","59265","1","370"
"14","Madurai","91045","89805","4","1236"
"15","Mayiladuthurai","26497","26167","0","330"
"16","Nagapattinam","25442","25067","0","375"
"17","Namakkal","68009","67473","2","534"
"18","Nilgiris","42132","41905","1","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34470","34041","3","426"
"21","Ramanathapuram","24681","24309","4","368"
"22","Ranipet","53927","53138","2","787"
"23","Salem","127386","125618","6","1762"
"24","Sivagangai","23837","23614","4","219"
"25","Tenkasi","32746","32256","0","490"
"26","Thanjavur","92164","91123","2","1039"
"27","Theni","50603","50069","1","533"
"28","Thirupathur","35736","35103","0","633"
"29","Thiruvallur","147492","145537","16","1939"
"30","Thiruvannamalai","66813","66127","1","685"
"31","Thiruvarur","48017","47545","0","472"
"32","Thoothukudi","64965","64516","1","448"
"33","Tirunelveli","62772","62324","3","445"
"34","Tiruppur","129936","128884","0","1052"
"35","Trichy","94956","93789","6","1161"
"36","Vellore","57315","56146","6","1163"
"37","Villupuram","54585","54218","1","366"
"38","Virudhunagar","56837","56280","3","554"
"39","Airport Surveillance 
(International)","1265","1251","13","1"
"40","Airport Surveillance 
(Domestic)","1107","1104","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,53,979","34,15,440","514","38,025"
