,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-01-10,AP,Anantapur,,,,158663,1093,157250,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
1,2022-01-10,AP,Chittoor,,,,249906,1959,246837,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
2,2022-01-10,AP,East Godavari,,,,295602,1290,293776,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
3,2022-01-10,AP,Guntur,,,,179821,1260,178119,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
4,2022-01-10,AP,YSR Kadapa,,,,116138,644,115362,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
5,2022-01-10,AP,Krishna,,,,121318,1481,119210,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
6,2022-01-10,AP,Kurnool,,,,124352,854,123395,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
7,2022-01-10,AP,S.P.S. Nellore,,,,147549,1060,146061,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
8,2022-01-10,AP,Prakasam,,,,138953,1130,137714,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
9,2022-01-10,AP,Srikakulam,,,,123943,793,122924,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
10,2022-01-10,AP,Visakhapatnam,,,,159969,1143,157769,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
11,2022-01-10,AP,Vizianagaram,,,,83441,673,82443,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
12,2022-01-10,AP,West Godavari,,,,180293,1125,178977,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
14,2022-01-10,AP,Other States,,,,2461,0,2461,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
15,2022-01-10,AP,Other Countries,,,,434,0,434,,2022-04-06T22:35:05.948819+05:30,,,,2082843,14505,2062732,,0,0
