,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,0,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Ahmedabad,9,0,8,6557,5072,27737,27,89.0,0.0,52.0,56142.0,36245.0,233336.0,7208200,2021-11-22 21:49:10.412005,,,238525,3411,234994,5435391,6042641,4061684,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
1,1,1,1,1,1,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Amreli,0,0,0,59,1144,8368,0,0.0,0.0,0.0,7040.0,8985.0,65159.0,1513614,2021-11-22 21:49:10.412005,,,10811,102,10709,609105,948246,711318,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
2,2,2,2,2,2,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Anand,0,0,0,2511,885,11671,2,2.0,0.0,2.0,13053.0,8106.0,102212.0,2090276,2021-11-22 21:49:10.412005,,,9643,49,9590,568193,1509257,1241537,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
3,3,3,3,3,3,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Aravalli,0,0,0,76,127,2686,0,0.0,0.0,0.0,4604.0,1122.0,30956.0,1051746,2021-11-22 21:49:10.412005,,,5186,78,5108,371578,720411,603437,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
4,4,4,4,4,4,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Banaskantha,0,0,1,1233,1687,28346,0,0.0,0.0,1.0,13167.0,7454.0,177464.0,3116045,2021-11-22 21:49:10.412005,,,13632,162,13470,877649,2161606,1689979,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
5,5,5,5,5,5,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Bharuch,1,0,0,1277,1449,6357,0,3.0,0.0,1.0,8468.0,10632.0,54531.0,1550822,2021-11-22 21:49:10.412005,,,11430,118,11309,534745,1243312,801486,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
6,6,6,6,6,6,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Bhavnagar,0,0,0,1503,5836,26964,3,1.0,0.0,2.0,13807.0,19891.0,94862.0,2877961,2021-11-22 21:49:10.412005,,,21451,301,21149,1221872,1726390,1199020,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
7,7,7,7,7,7,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Botad,0,0,0,0,350,4669,0,0.0,0.0,0.0,2591.0,2170.0,27035.0,656005,2021-11-22 21:49:10.412005,,,2218,42,2176,259490,382603,287748,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
8,8,8,8,8,8,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Chhota Udaipur,0,0,0,1011,357,2018,0,0.0,0.0,0.0,5467.0,924.0,27580.0,1071831,2021-11-22 21:49:10.412005,,,3395,38,3357,282853,637303,512928,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
9,9,9,9,9,9,2021-11-22,GJ,25,0,26,54562,51317,336579,167,252.0,1.0,177.0,445196.0,319413.0,2348654.0,Dahod,0,0,0,1732,329,3256,0,0.0,0.0,0.0,10512.0,1488.0,105704.0,2126558,2021-11-22 21:49:10.412005,,,9955,38,9917,734084,1501777,961306,2021-11-22 21:49:10.411279,67936000,2021-11-22 21:49:10.412353,,,827069,10088,816672,31980749,45444468,32055785,0,0,0,0,0
