,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,7676,7545,129,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,536612,295954,240658,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,121,2304,2425,0,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2071244,2054553,14426,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,57324840,33967978,23356862,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,36079,151724,187803,174,301,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,55247,54929,280,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,1380247,787316,592931,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,1321,3971,5292,1,6,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,615382,606337,6072,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,31769260,20839918,10929342,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,33155,153496,186651,91,220,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Assam,34293000
4,Bihar,726188,716485,9663,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,75614131,52653712,22960419,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,135491,300834,436325,3,1,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,65406,64556,820,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,1541207,935815,605392,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,671,3348,4019,6,4,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1006542,992655,13592,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,24513843,15769973,8743870,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,42604,60345,102949,24,23,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,10682,10678,4,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,1092343,670593,421750,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,557,2201,2758,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1440666,1415262,25095,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,21940947,13582552,8358395,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,36325,60812,97137,29,45,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Delhi,19814000
9,Goa,178661,175048,3378,2021-11-22,TT,34518901,465911,33934547,2021-11-22 16:16:47.114830,632524259,2021-11-21 00:00:00,874881,1174780003,769202419,405577584,2280291,1277044,1003247,https://www.icmr.gov.in/,8488,249,12510,3958154,1759134,5717288,569,2995,3564,16,26,1,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1363443.4285714286,1340164.7142857143,16386.14285714286,0,0,0,,,1332900000,Goa,1540000
