,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Ahmednagar,82.0,1.0,501.0,,5089.0,3983.0,0,0,861.0,27.0,1218.0,,41964.0,27657.0,0,4543083,,,,339539,7044,330623,,2473926,885385,0,1,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,1.0
1,1,1,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Akola,0.0,0.0,0.0,,3542.0,1546.0,0,0,2.0,0.0,7.0,,25362.0,9619.0,0,1818617,,,,58764,1425,57318,,763641,359477,0,4,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,4.0
2,2,2,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Amravati,0.0,0.0,0.0,,2267.0,1907.0,0,0,3.0,0.0,0.0,,25857.0,18819.0,0,2887826,,,,96231,1594,94618,,1243435,550714,0,2,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,2.0
3,3,3,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Aurangabad,8.0,0.0,0.0,,5024.0,3744.0,0,0,147.0,1.0,66.0,,44416.0,32000.0,0,3695928,,,,155339,4251,150615,,1777444,727048,0,14,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,14.0
4,4,4,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Beed,3.0,2.0,80.0,,7174.0,4630.0,0,0,66.0,7.0,105.0,,36197.0,25332.0,0,2585962,,,,103752,2808,100883,,1152556,490245,0,7,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,7.0
5,5,5,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Bhandara,0.0,0.0,0.0,,319.0,1213.0,0,0,0.0,0.0,1.0,,4098.0,14117.0,0,1198810,,,,60080,1123,58945,,826186,422798,0,10,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,10.0
6,6,6,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Buldhana,1.0,0.0,1.0,,4593.0,3558.0,0,0,16.0,1.0,13.0,,33074.0,23350.0,0,2588039,,,,85521,797,84711,,1141272,516502,0,6,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,6.0
7,7,7,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Chandrapur,0.0,0.0,0.0,,1912.0,2420.0,0,0,6.0,0.0,0.0,,18307.0,16387.0,0,2194262,,,,88968,1560,87387,,1336929,461110,0,4,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,4.0
8,8,8,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Dhule,1.0,0.0,6.0,,4405.0,3499.0,0,0,6.0,0.0,10.0,,23777.0,19763.0,0,2048781,,,,46173,654,45507,,1011412,479550,0,11,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,11.0
9,9,9,2021-11-01,MH,809,10,1901,85476,189699,164650,0,0,8037.0,198.0,15461.0,774532.0,1518892.0,1205654.0,0.0,Gadchiroli,0.0,0.0,0.0,,852.0,547.0,0,0,2.0,0.0,3.0,,13535.0,9983.0,0,1071795,,,,30440,669,29735,,541171,231755,0,33,2022-01-22T23:49:26.844554+05:30,122153000,,,,6611887,140226,6452486,62752687,67386029,31139409,0,3623,3623.0,33.0
