,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Alipurduar,4,0,5,,13845,11705,0,32.0,0.0,35.0,,43931.0,35807.0,1700000,,,,15593,102,15446,,963620,365371,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
1,1,1,1,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Bankura,16,0,21,,41091,12160,0,155.0,0.0,136.0,,238002.0,76194.0,3596292,,,,36329,274,35860,,2286238,718337,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
2,2,2,2,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Birbhum,7,0,19,,10127,9057,0,167.0,0.0,110.0,,61163.0,51337.0,3502387,,,,41204,286,40746,,1357922,540354,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
3,3,3,3,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Cooch Behar,10,0,12,,29770,5840,0,77.0,0.0,91.0,,1474002.0,427503.0,2822780,,,,29285,97,29072,,1474002,427503,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
4,4,4,4,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Dakshin Dinajpur,14,0,15,,7529,4199,0,110.0,1.0,108.0,,48855.0,21199.0,1670931,,,,17903,170,17588,,1071022,367255,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
5,5,5,5,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Darjeeling,17,0,29,,2974,15974,0,184.0,1.0,212.0,,21137.0,69937.0,1842034,,,,57160,539,56355,,1327529,680280,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
6,6,6,6,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Hooghly,48,2,69,,77382,13596,0,458.0,4.0,496.0,,317885.0,107141.0,5520389,,,,86348,992,84719,,3445538,1357574,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
7,7,7,7,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Howrah,74,0,70,,39734,16384,0,525.0,2.0,479.0,,231451.0,96151.0,4841638,,,,98831,1524,96637,,2945659,1270460,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
8,8,8,8,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Jalpaiguri,14,0,16,,32136,11125,0,112.0,6.0,118.0,,81578.0,63616.0,3869675,,,,41996,572,41272,,1176274,421844,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
9,9,9,9,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Jhargram,10,0,5,,4853,3318,0,31.0,0.0,38.0,,37389.0,19841.0,1136548,,,,12145,27,12068,,719309,214904,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
10,10,10,10,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Kalimpong,2,0,3,,89,1169,0,18.0,0.0,27.0,,529.0,10056.0,251642,,,,7038,54,6953,,180802,125589,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
11,11,11,11,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Kolkata,205,1,235,,6105,27655,0,1819.0,23.0,1585.0,,37188.0,198726.0,4486679,,,,322746,5153,315381,,4790189,3067141,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
12,12,12,12,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Malda,21,0,10,,47677,14148,0,97.0,0.0,54.0,,203047.0,60321.0,3997970,,,,33427,186,33131,,2076821,604645,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
13,13,13,13,2021-11-01,WB,725,8,867,29112,803933,317620,0,6373.0,83.0,6013.0,300126.0,3945852.0,1831065.0,Murshidabad,2,0,6,,89053,10892,0,47.0,1.0,41.0,,629713.0,83755.0,7102430,,,,33995,328,33611,,4041712,987003,2021-11-12T19:06:01.203949+05:30,96906000,,,,1593633,19149,1566338,19257415,56987338,21875774,0,0,0,0,0
