,Unnamed: 0,Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,last_updated,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,tested_source_state,tested_last_updated_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaConfirmedForState,7DmaRecoveredForState,7DmaDeceasedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinatedForState,7DmaConfirmedForDistrict,7DmaRecoveredForDistrict,7DmaDeceasedForDistrict,7DmaVaccinatedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,0,2021-11-01,TT,Andaman and Nicobar Islands,7651,129,7518,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,444242,289980,154262,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-4021,-45895,-49916,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,1,2021-11-01,TT,Andhra Pradesh,2066450,14373,2047722,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,41714184,27751626,13962558,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-5225097,-6412214,-11637311,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,2,2021-11-01,TT,Arunachal Pradesh,55155,280,54774,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1181387,756848,424539,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-15027,-109947,-124974,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,3,2021-11-01,TT,Assam,610645,5997,600974,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,24099000,18514304,5584696,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1657766,-2483876,-4141642,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Assam,34293000
4,4,2021-11-01,TT,Bihar,726098,9661,716390,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,54439416,43582577,10856839,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-6288894,-7486629,-13775523,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Bihar,119520000
5,5,2021-11-01,TT,Chandigarh,65351,820,64495,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1357130,902936,454194,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-23099,-92787,-115886,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Chandigarh,1179000
6,6,2021-11-01,TT,Chhattisgarh,1006052,13577,992159,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,17896920,12566270,5330650,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-2283857,-2011190,-4295047,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Chhattisgarh,28724000
7,7,2021-11-01,TT,Dadra and Nagar Haveli and Daman and Diu,10682,4,10674,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,931669,646836,284833,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-13917,-85420,-99337,1,30,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,8,2021-11-01,TT,Delhi,1439870,25091,1414431,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,18065473,12144237,5921236,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-911390,-1504143,-2415533,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Delhi,19814000
9,9,2021-11-01,TT,Goa,178108,3364,174392,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,1937243,1227878,709365,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-34680,-201717,-236397,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Goa,1540000
10,10,2021-11-01,TT,Gujarat,826577,10089,816283,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,61231247,42119082,19112165,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-2616044,-6859204,-9475248,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Gujarat,67936000
11,11,2021-11-01,TT,Haryana,771252,10049,761068,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,23164064,16722570,6441494,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1049469,-1673307,-2722776,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Haryana,28672000
12,12,2021-11-01,TT,Himachal Pradesh,224106,3754,218410,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,8431550,5664849,2766701,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-48846,-677077,-725923,0,0,16,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,13,2021-11-01,TT,Jammu and Kashmir,332249,4432,326915,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,11618480,8022402,3596078,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1488608,-1550670,-3039278,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,14,2021-11-01,TT,Jharkhand,348764,5138,343518,2021-11-01 17:56:03.957793,34285814,458437,33668560,609201294,896805857,654910067,241895790,17863204,13695874,4167330,https://www.icmr.gov.in/,2021-11-01 00:00:00,415,557,7378,-87611903,162872550,-166635143,-1287691,-1415043,-2702734,0,0,0,4885882.857142857,4796504.428571428,64930.0,5094504913,2239844681,7334349594,1364386.7142857143,1341021.7142857143,16398.714285714286,0,0,0,,,1332900000,Jharkhand,37403000
