"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109784","7","107498","2279"
"2","SAS Nagar","95695","5","94542","1148"
"3","Jalandhar","78295","12","76705","1578"
"4","Patiala","62041","6","60577","1458"
"5","Amritsar","59397","5","57710","1682"
"6","Bathinda","50873","6","49779","1088"
"7","Hoshiarpur","40840","8","39736","1096"
"8","Gurdaspur","26942","3","26075","864"
"9","Pathankot","24538","4","24039","495"
"10","Fazilka","23399","13","22841","545"
"11","Muktsar","22556","4","22013","539"
"12","Kapurthala","22041","9","21453","579"
"13","Ropar","17939","1","17483","455"
"14","Ferozepur","17901","3","17361","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16786","1","16447","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13404","3","12994","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","0","10733","254"
"21","Tarn Taran","10899","0","10505","394"
"22","Barnala","7498","1","7149","348"
"23","Malerkotla","3967","0","3791","176"
"","Total","759152","91","741320","17741"
