"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","40656","35","40079","210","1","367","0"
"2","Ballari","10","115382","49","113227","400","1","1753","2"
"3","Belagavi","22","99937","80","98553","385","0","997","2"
"4","Bengaluru Rural","4","79247","12","78242","99","0","906","0"
"5","Bengaluru Urban","552","1776725","916","1754627","5255","14","16842","1"
"6","Bidar","1","29788","7","29345","21","0","418","4"
"7","Chamarajanagara","6","43571","22","42891","147","0","522","11"
"8","Chikkaballapura","2","55582","21","54952","170","0","459","1"
"9","Chikkamagaluru","5","57176","11","56642","128","0","406","0"
"10","Chitradurga","9","46125","36","45633","257","0","235","0"
"11","Dakshina 
Kannada","20","135321","63","133253","225","3","1833","10"
"12","Davanagere","3","57494","7","56801","71","0","622","0"
"13","Dharwada","10","83980","49","82471","136","2","1371","2"
"14","Gadag","2","30564","5","30210","19","0","335","0"
"15","Hassana","7","143768","55","142308","156","0","1302","2"
"16","Haveri","1","26815","10","26102","45","0","668","0"
"17","Kalaburagi","3","76501","12","75406","218","1","877","0"
"18","Kodagu","14","49142","11","48569","222","0","350","1"
"19","Kolara","9","62931","20","62200","68","0","663","0"
"20","Koppala","0","41256","7","40560","159","0","537","0"
"21","Mandya","5","101427","21","100603","121","0","703","0"
"22","Mysuru","23","229157","71","226214","388","0","2555","0"
"23","Raichuru","0","45424","2","44993","72","0","359","0"
"24","Ramanagara","2","29754","3","29351","57","0","346","0"
"25","Shivamogga","10","83159","31","81607","423","1","1128","1"
"26","Tumakuru","21","159663","43","157855","596","2","1212","0"
"27","Udupi","15","95499","59","94817","140","2","542","0"
"28","Uttara Kannada","6","71049","18","70162","79","0","808","0"
"29","Vijayapura","3","40962","12","40369","78","1","515","0"
"30","Yadagiri","0","29941","4","29669","61","1","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","767","3938032","1692","3887744","10406","29","39845","37"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 22-02-2022 
 Page 5 of 11","","","","","","","","",""
