"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","598","269","231440","1","12226","243666","728"
"Bageshwar","193","381","204375","0","5765","210140","602"
"Chamoli","491","548","283989","0","12247","296236","885"
"Champawat","834","555","237705","4","7613","245318","1003"
"Dehradun","2297","2380","1877626","6","112576","1990202","1034"
"Haridwar","3520","3143","2097891","1","51557","2149448","1593"
"Nainital","1421","1452","541876","5","39317","581193","518"
"Pauri Garhwal","1107","1426","386437","2","17726","404163","858"
"Pithoragarh","570","505","214295","0","10267","224562","859"
"Rudraprayag","342","479","191164","0","8802","199966","706"
"Tehri Garhwal","392","265","296389","0","15840","312229","753"
"US Nagar","2011","2226","902793","2","37889","940682","525"
"Uttarkashi","353","264","334707","0","12560","347267","578"
"Total","14129","13893","7800687","21","344385","8145072","10642"
