"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2081","20","1","0"
"East Jaintia Hills","0","1","0","2676","39","3","0"
"East Khasi Hills","1","7","0","47831","1079","19","14"
"Eastern West Khasi Hills","1","2","0","161","9","1","0"
"North Garo Hills","0","0","0","1918","10","0","0"
"Ri-Bhoi","4","3","0","10565","101","9","0"
"South Garo Hills","0","0","0","1440","16","2","0"
"South West Garo Hills","2","0","0","2259","21","9","0"
"South West Khasi Hills","0","0","0","2718","20","2","0"
"West Garo Hills","4","5","0","11806","84","30","5"
"West Jaintia Hills","0","1","0","7322","141","4","1"
"West Khasi Hills","0","0","0","5670","78","0","0"
"Total","12","19","0","96447","1618","80","20"
