"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","28","40371","172","39143","874","1","354","0",""
"","2","Ballari","64","114278","838","110247","2297","3","1732","2",""
"","3","Belagavi","352","98306","632","90183","7134","0","989","0",""
"","4","Bengaluru Rural","20","78991","146","76988","1098","0","905","0",""
"","5","Bengaluru Urban","2139","1762315","8604","1716457","29149","17","16708","1",""
"","6","Bidar","25","29618","115","28867","334","0","413","4",""
"","7","Chamarajanagara","75","43042","661","41350","1163","0","518","11",""
"","8","Chikkaballapura","44","55229","215","53915","859","0","454","1",""
"","9","Chikkamagaluru","50","56874","143","55886","585","1","403","0",""
"","10","Chitradurga","89","45434","342","43416","1791","2","227","0",""
"","11","Dakshina 
Kannada","146","134558","392","131246","1507","7","1796","9",""
"","12","Davanagere","20","57300","146","56021","662","0","617","0",""
"","13","Dharwada","102","83233","599","80156","1732","2","1343","2",""
"","14","Gadag","22","30362","176","29609","420","1","333","0",""
"","15","Hassana","103","143097","705","139850","1948","1","1297","2",""
"","16","Haveri","36","26517","271","25293","564","0","660","0",""
"","17","Kalaburagi","73","76009","590","73384","1754","0","871","0",""
"","18","Kodagu","81","48278","732","46547","1386","0","344","1",""
"","19","Kolara","33","62643","176","61202","783","4","658","0",""
"","20","Koppala","99","41090","152","39742","813","1","535","0",""
"","21","Mandya","45","100820","485","98786","1341","1","693","0",""
"","22","Mysuru","222","227458","1028","221860","3060","3","2538","0",""
"","23","Raichuru","28","45159","75","44127","678","0","354","0",""
"","24","Ramanagara","30","29529","109","28948","236","1","345","0",""
"","25","Shivamogga","122","82134","405","78365","2648","0","1120","1",""
"","26","Tumakuru","221","158223","475","153477","3555","4","1191","0",""
"","27","Udupi","64","94830","27","92507","1793","2","530","0",""
"","28","Uttara Kannada","49","70620","484","68724","1094","0","802","0",""
"","29","Vijayapura","53","40565","83","39258","802","0","505","0",""
"","30","Yadagiri","17","29842","89","29279","354","0","209","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","4452","3906761","19067","3794866","72414","51","39447","34",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 08-02-2022 
 Page 5 of 43","","","","","","","","","",""
"","","","","","","","","","","",""
