"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19920","19620","33","267"
"2","Chengalpattu","240284","235441","2185","2658"
"3","Chennai","763525","748854","5603","9068"
"4","Coimbatore","331444","328053","774","2617"
"5","Cuddalore","74352","73408","49","895"
"6","Dharmapuri","36222","35928","11","283"
"7","Dindigul","37522","36823","34","665"
"8","Erode","132876","132011","131","734"
"9","Kallakurichi","36545","36314","16","215"
"10","Kancheepuram","95382","93617","463","1302"
"11","Kanyakumari","87102","85579","438","1085"
"12","Karur","29794","29399","23","372"
"13","Krishnagiri","59766","59316","80","370"
"14","Madurai","91404","89957","211","1236"
"15","Mayiladuthurai","26542","26185","27","330"
"16","Nagapattinam","25487","25078","34","375"
"17","Namakkal","68114","67510","70","534"
"18","Nilgiris","42285","41998","61","226"
"19","Perambalur","14558","14242","67","249"
"20","Pudukottai","34512","34058","28","426"
"21","Ramanathapuram","24715","24318","29","368"
"22","Ranipet","54199","53255","157","787"
"23","Salem","127686","125738","186","1762"
"24","Sivagangai","24013","23683","111","219"
"25","Tenkasi","32853","32289","74","490"
"26","Thanjavur","92269","91157","72","1040"
"27","Theni","50683","50100","50","533"
"28","Thirupathur","35773","35119","21","633"
"29","Thiruvallur","148850","146190","721","1939"
"30","Thiruvannamalai","66945","66181","79","685"
"31","Thiruvarur","48077","47566","39","472"
"32","Thoothukudi","65399","64669","282","448"
"33","Tirunelveli","63276","62501","330","445"
"34","Tiruppur","130090","128946","92","1052"
"35","Trichy","95475","93953","361","1161"
"36","Vellore","57464","56225","76","1163"
"37","Villupuram","54710","54249","95","366"
"38","Virudhunagar","57079","56346","179","554"
"39","Airport Surveillance 
(International)","1347","1324","22","1"
"40","Airport Surveillance 
(Domestic)","1136","1130","5","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,80,103","34,28,758","13,319","38,026"
