"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,889"
"2","Number of persons tested positive today in Tamil Nadu","596"
"","Passengers returned from other countries  by 
International airport tested positive today","Europe-2 
UK-2 
USA-2"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-3 
West Bengal-2"
"","Total","607"
"3","Total Number of persons tested positive till date","27,42,224"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,03,938/ 
5,66,22,301@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,03,708/ 
5,56,84,421"
"6","No. of Male / Female / Transgender tested positive today","336/271/0"
"7","No. of Male / Female / Transgender tested positive till date","16,00,606/11,41,580/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","689/ 
26,98,628"
"10","Total number of deaths today/ till date","8(3 Private &  
5 Govt) /36,707)"
