,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-12-24,TT,Andaman and Nicobar Islands,,,,7704,129,7572,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
1,2021-12-24,TT,Andhra Pradesh,,,,2076077,14483,2060236,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
2,2021-12-24,TT,Arunachal Pradesh,,,,55324,280,55023,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
3,2021-12-24,TT,Assam,,,,619819,6152,611398,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
4,2021-12-24,TT,Bihar,,,,726396,12094,714215,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
5,2021-12-24,TT,Chandigarh,,,,65731,1078,64554,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
6,2021-12-24,TT,Chhattisgarh,,,,1007479,13595,993591,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
7,2021-12-24,TT,Dadra and Nagar Haveli and Daman and Diu,,,,10691,4,10682,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
8,2021-12-24,TT,Delhi,,,,1442515,25102,1416789,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
9,2021-12-24,TT,Goa,,,,179844,3518,175934,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
10,2021-12-24,TT,Gujarat,,,,828794,10106,818051,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
11,2021-12-24,TT,Haryana,,,,772326,10062,761966,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
12,2021-12-24,TT,Himachal Pradesh,,,,228435,3871,224098,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
13,2021-12-24,TT,Jammu and Kashmir,,,,340161,4515,334338,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
14,2021-12-24,TT,Jharkhand,,,,349650,5142,344307,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
15,2021-12-24,TT,Karnataka,,,,3003265,38299,2957799,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
16,2021-12-24,TT,Kerala,,,,5225772,45538,5151715,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
17,2021-12-24,TT,Ladakh,,,,22012,218,21598,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
18,2021-12-24,TT,Lakshadweep,,,,10412,51,10355,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
19,2021-12-24,TT,Maharashtra,,,,6652166,141375,6499760,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
20,2021-12-24,TT,Manipur,,,,125669,1998,123483,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
21,2021-12-24,TT,Meghalaya,,,,84768,1481,83210,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
22,2021-12-24,TT,Mizoram,,,,140143,535,137761,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
23,2021-12-24,TT,Madhya Pradesh,,,,793551,10531,782840,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
24,2021-12-24,TT,Nagaland,,,,32171,701,31387,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
25,2021-12-24,TT,Odisha,,,,1053349,8447,1043219,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
26,2021-12-24,TT,Puducherry,,,,129366,1880,127340,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
27,2021-12-24,TT,Punjab,,,,604058,16635,587118,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
28,2021-12-24,TT,Rajasthan,,,,955292,8961,946113,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
29,2021-12-24,TT,Sikkim,,,,32469,408,31976,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
30,2021-12-24,TT,Tamil Nadu,,,,2741617,36699,2697939,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
31,2021-12-24,TT,Telangana,,,,680074,4017,672447,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
32,2021-12-24,TT,Tripura,,,,84990,828,84094,,,2021-12-24 00:05:28.795796,,,,34765976,478759,34208926,668643929,1396976774
