"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20008","19692","49","267"
"2","Chengalpattu","246196","240975","2563","2658"
"3","Chennai","776311","761419","5823","9069"
"4","Coimbatore","333500","329879","1004","2617"
"5","Cuddalore","74682","73629","158","895"
"6","Dharmapuri","36357","36021","53","283"
"7","Dindigul","37827","36986","176","665"
"8","Erode","133418","132418","266","734"
"9","Kallakurichi","36728","36451","62","215"
"10","Kancheepuram","96562","94788","472","1302"
"11","Kanyakumari","88052","86565","402","1085"
"12","Karur","29908","29482","54","372"
"13","Krishnagiri","60068","59552","146","370"
"14","Madurai","91968","90504","228","1236"
"15","Mayiladuthurai","26693","26286","77","330"
"16","Nagapattinam","25621","25169","77","375"
"17","Namakkal","68483","67763","186","534"
"18","Nilgiris","42445","42145","74","226"
"19","Perambalur","14768","14435","84","249"
"20","Pudukottai","34747","34199","122","426"
"21","Ramanathapuram","24868","24413","87","368"
"22","Ranipet","54821","53726","308","787"
"23","Salem","128532","126277","493","1762"
"24","Sivagangai","24338","23966","153","219"
"25","Tenkasi","33284","32609","185","490"
"26","Thanjavur","92613","91394","179","1040"
"27","Theni","50972","50314","125","533"
"28","Thirupathur","35831","35168","30","633"
"29","Thiruvallur","151055","148133","982","1940"
"30","Thiruvannamalai","67389","66504","200","685"
"31","Thiruvarur","48302","47702","127","473"
"32","Thoothukudi","66286","65468","370","448"
"33","Tirunelveli","64451","63527","479","445"
"34","Tiruppur","130465","129223","190","1052"
"35","Trichy","96584","95037","386","1161"
"36","Vellore","57635","56392","80","1163"
"37","Villupuram","55236","54606","264","366"
"38","Virudhunagar","57831","56911","365","555"
"39","Airport Surveillance 
(International)","1368","1365","2","1"
"40","Airport Surveillance 
(Domestic)","1146","1141","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","3,517,777","3,462,662","17,085","38,030"
