,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Ajmer,292,0,130,2391,613,690,53,1966.0,1.0,665.0,16874.0,43639.0,30233.0,2584913,,,,40561,411,38185,693876,1971095,1628231,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Alwar,1026,0,364,4660,5572,10009,51,5420.0,1.0,1028.0,28467.0,101532.0,153707.0,3671999,,,,66246,309,60518,1373334,2822741,2076511,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Banswara,113,0,34,1006,235,580,2,491.0,0.0,73.0,6653.0,30233.0,21334.0,1798194,,,,10606,104,9975,269744,1272217,911110,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Baran,94,0,2,1095,379,1871,0,371.0,0.0,8.0,5596.0,21803.0,33038.0,1223921,,,,12379,61,11947,190434,905381,670268,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Barmer,458,0,40,1909,1091,972,1,2006.0,2.0,90.0,11656.0,69994.0,33849.0,2604453,,,,17761,188,15490,361611,1801706,1193822,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Bharatpur,542,0,197,2019,370,17900,10,2868.0,0.0,539.0,11739.0,40202.0,195819.0,2549121,,,,23024,260,19896,419467,1681209,1216461,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Bhilwara,285,0,55,1593,239,200,24,1398.0,0.0,249.0,11353.0,41572.0,50206.0,2410459,,,,31630,156,29910,443416,1740174,1378841,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Bikaner,434,0,217,2753,936,1866,35,3106.0,1.0,853.0,15863.0,47105.0,34051.0,2367745,,,,44265,547,40758,645664,1719138,1264717,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Bundi,44,0,13,933,260,3102,0,195.0,0.0,23.0,4464.0,9543.0,19837.0,1113725,,,,8196,48,7942,197835,913902,713309,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-16,RJ,9669,6,4686,69494,37858,71883,1403,61482.0,33.0,17511.0,428888.0,1371607.0,1284304.0,Chittorgarh,293,0,179,2092,112,91,3,1485.0,0.0,593.0,11765.0,24715.0,15726.0,1544392,,,,21722,139,20276,401924,1208538,946969,0,2022-01-16T23:56:11.818072+05:30,77264000,,,,1037659,9005,965249,17066588,50903322,37619803,0,0.0,0,0,0,0
