,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
14,14,14,14,14,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Kalahandi,173,0,70,,3617,962,2,850.0,0.0,92.0,,25879.0,37828.0,1573054,,,,25255,212,24217,,1077592,764528,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
15,15,15,15,15,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Kandhamal,47,0,8,,315,934,0,197.0,0.0,31.0,,13147.0,12337.0,731952,,,,11768,83,11496,,551047,341977,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
16,16,16,16,16,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Kendrapara,71,0,6,,913,1554,15,368.0,1.0,28.0,,20186.0,24288.0,1439891,,,,25497,255,24854,,1051194,735955,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
17,17,17,17,17,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Kendujhar,69,0,99,,722,2272,38,599.0,0.0,310.0,,22023.0,35940.0,1802777,,,,21858,174,21173,,1283425,982532,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
18,18,18,18,18,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Khordha,3424,0,1003,,2054,1583,722,18969.0,0.0,2700.0,,33613.0,27699.0,2246341,,,,206302,1608,182852,,2269292,1919756,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
19,19,19,19,19,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Koraput,152,0,0,,1121,2170,5,1003.0,0.0,143.0,,24744.0,17696.0,1376934,,,,20336,80,19244,,1106811,785814,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
20,20,20,20,20,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Malkangiri,49,0,0,,676,2812,0,179.0,0.0,1.0,,8910.0,16160.0,612727,,,,11877,46,11640,,452952,336706,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
21,21,21,21,21,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Mayurbhanj,276,0,162,,1292,5899,45,2116.0,0.0,497.0,,31627.0,77463.0,2513895,,,,43810,288,41566,,1779932,1059611,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
22,22,22,22,22,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Nabarangapur,155,0,73,,1413,2488,13,800.0,0.0,306.0,,21307.0,22742.0,1218762,,,,24540,84,23787,,858447,581056,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
23,23,23,23,23,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Nayagarh,159,1,8,,1057,1714,13,661.0,2.0,40.0,,18117.0,16707.0,962215,,,,24353,213,23441,,684801,545980,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
24,24,24,24,24,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Nuapada,79,0,0,,1835,1010,5,409.0,0.0,0.0,,13928.0,9152.0,606490,,,,23435,86,22858,,473737,313127,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
25,25,25,25,25,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Puri,141,0,99,,1451,2877,46,1382.0,1.0,266.0,,18651.0,22455.0,1697983,,,,47471,462,45499,,1221086,1020450,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
26,26,26,26,26,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Rayagada,184,0,0,,920,1192,10,837.0,0.0,21.0,,16120.0,10371.0,961959,,,,21203,167,20118,,646487,497053,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
27,27,27,27,27,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Sambalpur,379,0,644,,535,1180,100,3827.0,0.0,1482.0,,19008.0,17887.0,1044410,,,,37385,240,33521,,889481,698703,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
28,28,28,28,28,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Subarnapur,238,0,33,,595,801,4,758.0,0.0,159.0,,13385.0,6714.0,652107,,,,14098,61,13313,,477722,424745,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
29,29,29,29,29,2022-01-16,OR,11177,3,4452,77120,47497,55438,1675,63043.0,13.0,13450.0,596985.0,726905.0,785569.0,Sundargarh,2136,1,868,,1928,1196,101,9744.0,2.0,3055.0,,34130.0,26792.0,2080664,,,,74433,594,64957,,1425392,989482,0,2022-01-16 23:56:09.448091,43671000,2022-01-16 23:56:09.448996,,,1133912,8481,1060067,26631454,31149165,22915301,0,0.0,0,0,0,0
