,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict,deltaVaccinated3ForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,0,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Anantapur,347,0,102,,3,12,66,1475.0,0.0,264.0,,39511.0,195275.0,4083315,,,,160073,1093,157485,,3463276,2750237,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
1,1,1,1,1,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Chittoor,1124,1,34,,21,48,166,5440.0,1.0,254.0,,12570.0,62634.0,4170468,,,,255102,1960,247062,,3617711,2953186,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
2,2,2,2,2,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,East Godavari,233,0,19,,0,3,82,1585.0,0.0,86.0,,9513.0,40211.0,5151549,,,,297070,1290,293852,,4468871,3345330,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
3,3,3,3,3,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Guntur,368,0,85,,82,12607,105,1870.0,0.0,353.0,,20497.0,271633.0,4889230,,,,181618,1260,178465,,4238822,3129078,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
4,4,4,4,4,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Krishna,207,0,39,,1223,7882,121,1334.0,1.0,142.0,,15349.0,94197.0,4529009,,,,122597,1482,119347,,3936158,3099918,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
5,5,5,5,5,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Kurnool,168,0,29,,20,11,20,1020.0,0.0,97.0,,38226.0,103256.0,4046601,,,,125357,854,123483,,3242613,2483898,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
6,6,6,6,6,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Other Countries,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,434,0,434,,0,0,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
7,7,7,7,7,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Other States,0,0,0,,0,0,0,0.0,0.0,0.0,,0.0,0.0,0,,,,2461,0,2461,,0,0,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
8,8,8,8,8,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Prakasam,178,0,8,,129,3756,19,786.0,1.0,64.0,,31135.0,123572.0,3392764,,,,139706,1131,137765,,2905158,2401172,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
9,9,9,9,9,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,S.P.S. Nellore,253,0,27,,39,5898,57,1687.0,0.0,128.0,,5153.0,122104.0,2966082,,,,149155,1060,146178,,2575479,2182372,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
10,10,10,10,10,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Srikakulam,187,0,22,,0,1,50,1511.0,1.0,71.0,,4323.0,23455.0,2699471,,,,125407,794,122992,,2324555,1584394,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
11,11,11,11,11,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Visakhapatnam,1028,0,101,,43,1725,173,5087.0,0.0,405.0,,15193.0,104704.0,4288113,,,,164905,1143,158143,,3652377,2907571,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
12,12,12,12,12,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Vizianagaram,209,0,87,,4,884,17,1131.0,0.0,191.0,,8079.0,36582.0,2342868,,,,84497,673,82632,,2001473,1469688,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
13,13,13,13,13,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,West Godavari,95,0,96,,13,77,91,447.0,1.0,259.0,,7374.0,38811.0,3934782,,,,180738,1126,179233,,3446401,2585174,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
14,14,14,14,14,2022-01-16,AP,4570,1,669,30022,1579,32987,994,24421.0,5.0,2420.0,256081.0,215537.0,1261571.0,Y.S.R. Kadapa,173,0,20,,2,83,27,1048.0,0.0,106.0,,8614.0,45137.0,2884524,,,,117160,644,115468,,2456365,1771293,0,2022-01-16 23:55:25.988197,52221000,2022-01-16 23:55:25.988911,,,2106280,14510,2065000,31862032,42329259,32663311,0,0.0,0,0,0,0
