"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3010","113486","2914","110403","37","3016","67"
"2","SAS Nagar","5209","100898","5114","99647","20","1168","83"
"3","Jalandhar","2743","81008","2659","78997","37","1977","34"
"4","Patiala","2073","64153","2029","62412","11","1722","19"
"5","Amritsar","1358","60913","1334","59042","6","1846","25"
"6","Bathinda","1521","52388","1450","50893","4","1427","68"
"7","Hoshiarpur","1265","42374","1213","40945","16","1416","13"
"8","Gurdaspur","340","27267","314","26387","5","869","11"
"9","Pathankot","499","25001","459","24474","4","521","6"
"10","Fazilka","458","23890","458","23261","0","621","8"
"11","Muktsar","272","22824","259","22269","3","542","13"
"12","Kapurthala","538","22567","517","21958","7","599","10"
"13","Ropar","1102","19040","1070","18553","4","459","28"
"14","Ferozepur","460","18353","441","17801","3","540","12"
"15","Mansa","189","17414","184","17020","1","392","2"
"16","Faridkot","377","17213","376","16797","3","414","2"
"17","Sangrur","275","14709","264","13837","9","869","3"
"18","SBS Nagar","447","13849","451","13439","0","409","1"
"19","FG Sahib","692","12607","679","12159","1","437","11"
"20","Moga","238","11237","232","10963","6","272","2"
"21","Tarn Taran","144","11044","133","10638","1","399","7"
"22","Barnala","207","7707","202","7340","6","363","4"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23477","784005","22810","763084","187","20492","429"
