"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35187","0","34852","2","0","333","0",""
"","2","Ballari","3","97860","0","96058","115","0","1687","0",""
"","3","Belagavi","10","80154","4","79104","102","0","948","0",""
"","4","Bengaluru Rural","6","62164","3","61232","40","0","892","0",""
"","5","Bengaluru Urban","810","1264428","218","1240149","7876","2","16402","1",""
"","6","Bidar","2","24354","0","23943","3","0","404","4",""
"","7","Chamarajanagara","2","33122","1","32596","11","0","504","11",""
"","8","Chikkaballapura","0","44009","0","43562","14","0","432","1",""
"","9","Chikkamagaluru","10","51468","2","51033","37","0","398","0",""
"","10","Chitradurga","4","36776","0","36550","15","0","211","0",""
"","11","Dakshina 
Kannada","48","116430","12","114542","187","0","1694","7",""
"","12","Davanagere","0","51034","0","50413","13","0","608","0",""
"","13","Dharwada","9","61526","3","60150","49","0","1325","2",""
"","14","Gadag","0","26075","0","25755","1","0","319","0",""
"","15","Hassana","5","112348","4","110986","98","0","1262","2",""
"","16","Haveri","0","21961","0","21318","0","0","643","0",""
"","17","Kalaburagi","8","62000","3","61150","27","0","823","0",""
"","18","Kodagu","13","37788","57","37263","186","0","338","1",""
"","19","Kolara","6","47163","6","46452","68","0","643","0",""
"","20","Koppala","0","35209","0","34672","9","0","528","0",""
"","21","Mandya","23","73986","4","73263","66","1","657","0",""
"","22","Mysuru","29","180304","7","177759","117","0","2428","0",""
"","23","Raichuru","0","39992","0","39659","0","0","333","0",""
"","24","Ramanagara","0","24223","0","23896","4","0","323","0",""
"","25","Shivamogga","3","69735","0","68568","77","0","1090","0",""
"","26","Tumakuru","8","121349","2","120144","62","1","1143","0",""
"","27","Udupi","28","77166","12","76527","148","0","491","0",""
"","28","Uttara Kannada","5","56674","15","55854","43","1","777","0",""
"","29","Vijayapura","1","36300","1","35790","15","0","495","0",""
"","30","Yadagiri","0","27549","0","27342","1","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","1033","3008370","354","2960615","9386","5","38340","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 01-01-2022 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
