"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","4","0","2","0","1902","1884","14"
"East Jaintia Hills","2","0","0","0","2442","2408","32"
"East Khasi Hills","257","23","16","1","41723","40465","1001"
"North Garo Hills","0","0","0","0","1685","1677","8"
"Ri-Bhoi","9","0","0","0","9731","9632","90"
"South Garo Hills","0","0","0","0","1217","1205","12"
"South West Garo Hills","0","0","0","0","1873","1855","18"
"South West Khasi Hills","0","0","0","0","2549","2532","17"
"West Garo Hills","7","0","1","0","9078","8998","73"
"West Jaintia Hills","7","0","2","0","6820","6678","135"
"West Khasi Hills","10","1","4","0","5514","5430","74"
"Total","296","24","25","1","84534","82764","1474"
