,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316699,14730,2304821,33473222
1,Anakapalli,0,0,0,0,2316699,14730,2304821,33473222
2,Anantapur,177611,0,0,0,2316699,14730,2304821,33473222
3,Annamayya,0,0,0,0,2316699,14730,2304821,33473222
4,Bapatla,0,0,0,0,2316699,14730,2304821,33473222
5,Chittoor,272394,0,0,0,2316699,14730,2304821,33473222
6,East Godavari,316587,0,0,0,2316699,14730,2304821,33473222
7,Eluru,5,0,0,0,2316699,14730,2304821,33473222
8,Guntur,203245,0,0,0,2316699,14730,2304821,33473222
9,Kakinada,0,0,0,0,2316699,14730,2304821,33473222
10,Konaseema,0,0,0,0,2316699,14730,2304821,33473222
11,Krishna,136896,0,0,0,2316699,14730,2304821,33473222
12,Kurnool,144244,0,0,0,2316699,14730,2304821,33473222
13,Nandyal,0,0,0,0,2316699,14730,2304821,33473222
14,NTR District,1,0,0,0,2316699,14730,2304821,33473222
15,Palnadu,0,0,0,0,2316699,14730,2304821,33473222
16,Parvathipuram Manyam,0,0,0,0,2316699,14730,2304821,33473222
17,Prakasam,155938,0,0,0,2316699,14730,2304821,33473222
18,S.P.S. Nellore,164375,0,0,0,2316699,14730,2304821,33473222
19,Sri Sathya Sai,0,0,0,0,2316699,14730,2304821,33473222
20,Srikakulam,133954,0,0,0,2316699,14730,2304821,33473222
21,Tirupati,0,0,0,0,2316699,14730,2304821,33473222
22,Visakhapatnam,190942,0,0,0,2316699,14730,2304821,33473222
23,Vizianagaram,92241,0,0,0,2316699,14730,2304821,33473222
24,West Godavari,193378,0,0,0,2316699,14730,2304821,33473222
25,Y.S.R. Kadapa,134888,0,0,0,2316699,14730,2304821,33473222
