,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Tested
0,2022-02-02,DL,Central Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
1,2022-02-02,DL,East Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
2,2022-02-02,DL,New Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
3,2022-02-02,DL,North Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
4,2022-02-02,DL,North East Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
5,2022-02-02,DL,North West Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
6,2022-02-02,DL,Shahdara,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
7,2022-02-02,DL,South Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
8,2022-02-02,DL,South East Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
9,2022-02-02,DL,South West Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
10,2022-02-02,DL,West Delhi,,,,,,,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
11,2022-02-02,DL,Unknown,,,,1835979,25919,1795190,,2022-02-03 11:55:26.571767,,,,1835979,25919,1795190,,35019278
