"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1679","112155","1341","108830","21","3000","325"
"2","SAS Nagar","2755","98444","2061","96594","11","1159","691"
"3","Jalandhar","1126","79391","762","77100","6","1946","345"
"4","Patiala","1074","63154","797","61180","3","1714","260"
"5","Amritsar","530","60085","380","58088","2","1842","155"
"6","Bathinda","687","51554","470","49913","1","1424","217"
"7","Hoshiarpur","318","41460","213","39945","4","1404","111"
"8","Gurdaspur","168","27095","129","26202","2","866","27"
"9","Pathankot","289","24798","200","24215","0","517","66"
"10","Fazilka","187","23620","166","22969","0","621","30"
"11","Muktsar","90","22642","65","22075","0","539","28"
"12","Kapurthala","210","22239","154","21596","1","593","50"
"13","Ropar","354","18292","251","17734","1","456","102"
"14","Ferozepur","180","18073","150","17510","2","539","24"
"15","Mansa","125","17350","105","16941","1","393","16"
"16","Faridkot","203","17038","184","16605","3","413","20"
"17","Sangrur","159","14593","96","13669","2","862","62"
"18","SBS Nagar","153","13555","122","13110","0","409","36"
"19","FG Sahib","324","12239","249","11729","1","437","73"
"20","Moga","66","11065","44","10775","2","268","22"
"21","Tarn Taran","49","10949","34","10539","0","398","12"
"22","Barnala","84","7584","78","7216","0","357","11"
"23","Malerkotla","34","4038","29","3820","1","213","5"
"","Total","10844","771413","8080","748355","64","20370","2688"
