"S. No","Subject","Number"
"1","Total Number of people vaccinated on 23rd Dec","4,04,655"
"2","First Dose on 23rd Dec","28,044"
"3","Second Dose on 23rd Dec","3,76,611"
"4","Cumulative Vaccination till 23rd Dec","10,07,84,717"
"5","Cumulative Vaccination First Dose","6,42,02,647"
"6","Cumulative Vaccination Second Dose","3,65,82,070"
"7","Number of CVC (Common Vaccination Centres)","4,657"
"8","Cumulative AEFI cases reported","6,095"
"9","Vaccine wastage","-7%"
