"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","842","741","3410"
"Kollam","226","18","897"
"Pathanamthitta","224","101","597"
"Alappuzha","206","78","498"
"Kottayam","326","182","2933"
"Idukki","112","70","1204"
"Ernakulam","928","301","5043"
"Thrissur","471","82","2884"
"Palakkad","172","50","527"
"Malappuram","175","97","1505"
"Kozhikode","451","222","3359"
"Wayanad","73","29","838"
"Kannur","302","178","1119"
"Kasaragod","141","31","343"
"Total","4649","2180","25157"
