"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19614","2","267"
"2","Chengalpattu","235241","232318","266","2657"
"3","Chennai","750466","740746","653","9067"
"4","Coimbatore","329766","326835","316","2615"
"5","Cuddalore","74230","73298","39","893"
"6","Dharmapuri","36173","35879","11","283"
"7","Dindigul","37469","36786","18","665"
"8","Erode","132644","131841","69","734"
"9","Kallakurichi","36514","36296","3","215"
"10","Kancheepuram","94342","92966","74","1302"
"11","Kanyakumari","86189","85036","68","1085"
"12","Karur","29751","29364","15","372"
"13","Krishnagiri","59611","59207","34","370"
"14","Madurai","91018","89762","20","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25437","25048","14","375"
"17","Namakkal","67989","67412","43","534"
"18","Nilgiris","42068","41735","107","226"
"19","Perambalur","14459","14206","4","249"
"20","Pudukottai","34455","34018","11","426"
"21","Ramanathapuram","24662","24285","9","368"
"22","Ranipet","53910","53111","12","787"
"23","Salem","127341","125502","77","1762"
"24","Sivagangai","23808","23553","36","219"
"25","Tenkasi","32737","32242","5","490"
"26","Thanjavur","92103","91021","43","1039"
"27","Theni","50592","50053","7","532"
"28","Thirupathur","35726","35086","7","633"
"29","Thiruvallur","147397","145358","100","1939"
"30","Thiruvannamalai","66795","66088","23","684"
"31","Thiruvarur","48003","47520","11","472"
"32","Thoothukudi","64939","64473","18","448"
"33","Tirunelveli","62746","62274","27","445"
"34","Tiruppur","129889","128747","90","1052"
"35","Trichy","94915","93684","70","1161"
"36","Vellore","57242","56007","72","1163"
"37","Villupuram","54579","54201","12","366"
"38","Virudhunagar","56810","56231","25","554"
"39","Airport Surveillance 
(International)","1244","1240","3","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,51,171","34,10,740","2,414","38,017"
