"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","5273","4555","39661"
"Kollam","2806","3361","24725"
"Pathanamthitta","1322","1744","10040"
"Alappuzha","1559","2182","17597"
"Kottayam","3569","2697","28355"
"Idukki","1252","1937","14372"
"Ernakulam","5676","9692","47784"
"Thrissur","1921","6993","29502"
"Palakkad","1120","2673","13650"
"Malappuram","1349","2417","18271"
"Kozhikode","1711","4160","17675"
"Wayanad","512","1060","8084"
"Kannur","1061","2081","10769"
"Kasaragod","340","841","3191"
"Total","29471","46393","283676"
