"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109737","33","107427","2277"
"2","SAS Nagar","95653","43","94465","1145"
"3","Jalandhar","78243","22","76643","1578"
"4","Patiala","62006","10","60539","1457"
"5","Amritsar","59384","13","57689","1682"
"6","Bathinda","50844","3","49753","1088"
"7","Hoshiarpur","40812","23","39694","1095"
"8","Gurdaspur","26927","8","26056","863"
"9","Pathankot","24520","32","23993","495"
"10","Fazilka","23363","11","22807","545"
"11","Muktsar","22540","1","22001","538"
"12","Kapurthala","22014","5","21430","579"
"13","Ropar","17931","2","17474","455"
"14","Ferozepur","17890","5","17354","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16729","9","16382","338"
"17","Sangrur","14306","1","13570","735"
"18","SBS Nagar","13391","2","12982","407"
"19","FG Sahib","11831","2","11475","354"
"20","Moga","10982","3","10725","254"
"21","Tarn Taran","10889","8","10487","394"
"22","Barnala","7488","17","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758673","254","740696","17723"
