"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 29-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","495","1695","266413","263712[348]","98.99","1006","860","2886","1724","5200786"
"2","Faridabad","101","552","127992","126700[55]","98.99","740","1112","2218","699","3961060"
"3","Hisar","1","7","62063","60881[3]","98.10","1175","369","1129","179","2322379"
"4","Sonepat","2","29","58634","58329[8]","99.48","276","1139","754","134","2248030"
"5","Karnal","4","19","48205","47590[2]","98.72","596","1253","1360","150","2341392"
"6","Panipat","1","4","36064","35388","98.13","672","819","1201","161","2020750"
"7","Panchkula","0","13","44171","43744","99.03","414","716","396","240","1090531"
"8","Ambala","2","16","40781","40223[2]","98.63","542","1468","1479","538","2085954"
"9","Sirsa","0","0","33375","32836","98.39","539","339","438","43","1914109"
"10","Rohtak","8","36","31872","31282[3]","98.15","537","185","938","133","1672120"
"11","Yamunanagar","1","3","30654","30196","98.51","455","164","819","179","1907372"
"12","Bhiwani","3","8","26496","25823","97.46","665","217","389","67","1735452"
"13","Kurukshetra","2","5","26833","26430[1]","98.50","398","914","843","105","1511673"
"14","Mahindergarh","0","0","24754","24589","99.33","165","151","216","92","1356715"
"15","Jind","1","1","24352","23809","97.77","542","385","1059","57","1690246"
"16","Rewari","2","4","24599","24371","99.07","224","977","746","125","1537772"
"17","Jhajjar","1","13","23445","23076[1]","98.43","350","111","348","103","1552731"
"18","Fatehabad","0","1","20063","19564","97.51","498","500","565","29","1188168"
"19","Kaithal","0","4","14235","13860","97.37","371","1027","864","59","1715573"
"20","Palwal","0","4","13481","13307[1]","98.71","170","800","664","27","1510856"
"21","Charkhi Dadri","0","1","7428","7282","98.03","145","52","240","400","868541"
"22","Nuh","0","0","6108","5969","97.72","139","12","31","8","1219527"
"Haryana","","624","2415","992018","978961[424]","98.68","10619","13570","19583","5252","42651737"
