"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109431","384","106787","2260"
"2","SAS Nagar","95108","687","93280","1141"
"3","Jalandhar","77884","469","75849","1566"
"4","Patiala","61874","91","60327","1456"
"5","Amritsar","59142","86","57378","1678"
"6","Bathinda","50625","196","49347","1082"
"7","Hoshiarpur","40534","352","39098","1084"
"8","Gurdaspur","26829","102","25868","859"
"9","Pathankot","24290","208","23596","486"
"10","Fazilka","23195","674","21977","544"
"11","Muktsar","22422","122","21763","537"
"12","Kapurthala","21896","122","21195","579"
"13","Ropar","17846","167","17228","451"
"14","Ferozepur","17766","84","17152","530"
"15","Mansa","17208","20","16797","391"
"16","Faridkot","16617","128","16154","335"
"17","Sangrur","13991","15","13258","718"
"18","SBS Nagar","13356","33","12922","401"
"19","FG Sahib","11794","45","11395","354"
"20","Moga","10932","83","10596","253"
"21","Tarn Taran","10811","114","10307","390"
"22","Barnala","7418","61","7057","300"
"23","Malerkotla","4265","4","4071","190"
"","Total","755234","4247","733402","17585"
