"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235418","232707","53","2658"
"3","Chennai","751013","741806","139","9068"
"4","Coimbatore","329917","327271","29","2617"
"5","Cuddalore","74249","73348","6","895"
"6","Dharmapuri","36191","35908","0","283"
"7","Dindigul","37477","36810","2","665"
"8","Erode","132667","131930","3","734"
"9","Kallakurichi","36521","36306","0","215"
"10","Kancheepuram","94386","93070","14","1302"
"11","Kanyakumari","86215","85120","10","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59629","59257","2","370"
"14","Madurai","91030","89792","2","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25441","25065","1","375"
"17","Namakkal","68003","67464","5","534"
"18","Nilgiris","42123","41885","12","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34465","34037","2","426"
"21","Ramanathapuram","24674","24305","1","368"
"22","Ranipet","53918","53126","5","787"
"23","Salem","127366","125595","9","1762"
"24","Sivagangai","23825","23600","6","219"
"25","Tenkasi","32744","32254","0","490"
"26","Thanjavur","92145","91088","18","1039"
"27","Theni","50600","50065","2","533"
"28","Thirupathur","35734","35099","2","633"
"29","Thiruvallur","147442","145492","11","1939"
"30","Thiruvannamalai","66810","66123","2","685"
"31","Thiruvarur","48010","47538","0","472"
"32","Thoothukudi","64950","64500","2","448"
"33","Tirunelveli","62763","62316","2","445"
"34","Tiruppur","129927","128864","11","1052"
"35","Trichy","94945","93771","13","1161"
"36","Vellore","57296","56118","15","1163"
"37","Villupuram","54582","54214","2","366"
"38","Virudhunagar","56833","56272","7","554"
"39","Airport Surveillance 
(International)","1248","1241","6","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,681","34,14,262","394","38,025"
