"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","117","28","223415","1","12203","235618","421"
"Bageshwar","167","250","197237","0","5764","203001","476"
"Chamoli","273","521","272818","0","12244","285062","893"
"Champawat","169","529","225928","0","7605","233533","805"
"Dehradun","4401","5360","1802480","3","112395","1914875","2780"
"Haridwar","2426","2332","2030259","1","51507","2081766","1546"
"Nainital","552","1061","518207","2","39241","557448","967"
"Pauri Garhwal","751","768","368006","0","17688","385694","862"
"Pithoragarh","281","312","207116","0","10263","217379","410"
"Rudraprayag","161","276","184863","0","8800","193663","696"
"Tehri Garhwal","172","171","290431","0","15836","306267","298"
"US Nagar","579","778","875755","1","37877","913632","965"
"Uttarkashi","347","132","325784","0","12551","338335","782"
"Total","10396","12518","7522299","8","343974","7866273","11901"
