"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2943","113419","2866","110355","37","3016","48"
"2","SAS Nagar","5134","100823","5028","99561","19","1167","95"
"3","Jalandhar","2713","80978","2613","78951","33","1973","54"
"4","Patiala","2052","64132","1995","62378","11","1722","32"
"5","Amritsar","1335","60890","1282","58990","6","1846","54"
"6","Bathinda","1457","52324","1365","50808","3","1426","90"
"7","Hoshiarpur","1245","42354","1164","40896","16","1416","42"
"8","Gurdaspur","335","27262","305","26378","5","869","15"
"9","Pathankot","487","24989","444","24459","4","521","9"
"10","Fazilka","443","23875","431","23234","0","621","20"
"11","Muktsar","259","22811","246","22256","3","542","13"
"12","Kapurthala","529","22558","502","21943","7","599","16"
"13","Ropar","1075","19013","1020","18503","4","459","51"
"14","Ferozepur","453","18346","424","17784","3","540","22"
"15","Mansa","186","17411","179","17015","1","393","3"
"16","Faridkot","374","17210","369","16790","3","414","6"
"17","Sangrur","271","14705","262","13835","9","869","1"
"18","SBS Nagar","439","13841","427","13415","0","409","17"
"19","FG Sahib","675","12590","658","12138","1","437","15"
"20","Moga","232","11231","220","10951","4","270","10"
"21","Tarn Taran","141","11041","121","10626","1","399","16"
"22","Barnala","204","7704","194","7332","5","362","10"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23042","783570","22173","762447","178","20484","639"
