"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","69","102","67794","1","4752","72540","4"
"Bageshwar","78","73","37591","5","2140","39727","7"
"Chamoli","55","22","50636","0","3293","53927","0"
"Champawat","73","41","64163","1","1968","66128","0"
"Dehradun","608","354","399061","58","37226","436152","76"
"Haridwar","221","164","318612","14","13773","332355","32"
"Nainital","336","208","99552","32","12388","111870","18"
"Pauri Garhwal","96","80","103191","10","5445","108629","2"
"Pithoragarh","38","33","43806","5","2623","46417","0"
"Rudraprayag","108","195","29503","3","2878","32381","0"
"Tehri Garhwal","221","162","43684","2","2568","46245","12"
"US Nagar","546","419","147233","11","9119","156328","22"
"Uttarkashi","61","3","45838","1","1845","47681","0"
"Total","2510","1856","1450664","143","100018","1550380","173"
