"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","13","35242","0","34854","55","0","333","0"
"2","Ballari","180","98530","1","96093","748","1","1689","0"
"3","Belagavi","269","81086","13","79181","957","0","948","0"
"4","Bengaluru Rural","310","63133","56","61363","878","0","892","0"
"5","Bengaluru Urban","15617","1334957","874","1244869","73654","6","16433","1"
"6","Bidar","111","24607","3","23955","244","0","404","4"
"7","Chamarajanagara","106","33405","1","32608","282","0","504","11"
"8","Chikkaballapura","141","44430","0","43588","409","0","432","1"
"9","Chikkamagaluru","87","51794","12","51085","311","0","398","0"
"10","Chitradurga","86","37010","9","36573","225","0","212","0"
"11","Dakshina 
Kannada","519","118919","137","114960","2253","1","1699","7"
"12","Davanagere","137","51322","3","50432","282","0","608","0"
"13","Dharwada","264","62518","34","60386","805","0","1325","2"
"14","Gadag","43","26207","6","25767","121","0","319","0"
"15","Hassana","409","113561","0","111113","1183","0","1263","2"
"16","Haveri","14","21991","0","21318","30","0","643","0"
"17","Kalaburagi","188","62671","30","61221","625","1","825","0"
"18","Kodagu","69","38061","9","37389","333","0","338","1"
"19","Kolara","282","47957","18","46579","734","0","644","0"
"20","Koppala","47","35294","3","34675","91","0","528","0"
"21","Mandya","319","75589","94","73515","1417","0","657","0"
"22","Mysuru","524","182725","114","178018","2277","1","2430","0"
"23","Raichuru","91","40134","2","39664","137","0","333","0"
"24","Ramanagara","135","24508","0","23911","273","0","324","0"
"25","Shivamogga","201","70510","4","68603","817","0","1090","0"
"26","Tumakuru","594","122845","10","120231","1470","0","1144","0"
"27","Udupi","361","79019","78","76903","1625","0","491","0"
"28","Uttara Kannada","199","57305","17","55924","602","0","779","0"
"29","Vijayapura","64","36563","13","35846","222","0","495","0"
"30","Yadagiri","10","27590","0","27345","39","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","21390","3099519","1541","2968002","93099","10","38389","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 12-01-2022 
 Page 5 of 10","","","","","","","","",""
