"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)","","",""
"","","","","","","","","Coverage of Vaccination  
on 23-01-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","2102","19135","234941","214862[3079]","91.45","944[1]","1827","2942","1011","4726656"
"2","Faridabad","1232","11584","119941","107631[1183]","89.74","726[2]","2172","5440","487","3527487"
"3","Hisar","366","1898","57932","54893[181]","94.75","1141","357","472","71","2140580"
"4","Sonepat","560","2961","54592","51373[326]","94.10","258","752","748","173","2081920"
"5","Karnal","208","2622","46106","42911[343]","93.07","573[5]","142","186","18","2150208"
"6","Panipat","245","1769","34597","32188[200]","93.04","640","948","1768","70","1819319"
"7","Panchkula","615","2496","40446","37565[485]","92.88","385[1]","149","161","99","1005162"
"8","Ambala","341","3821","38057","33713[492]","88.59","523[1]","136","186","66","1930460"
"9","Sirsa","182","1106","31519","29902[120]","94.87","511","308","261","8","1788174"
"10","Rohtak","184","1377","29377","27449[126]","93.44","534","166","318","22","1470537"
"11","Yamunanagar","203","1220","27524","25872[72]","94.00","432[1]","3864","3560","62","1684815"
"12","Bhiwani","172","1123","24194","22417[58]","92.66","654","162","262","13","1606793"
"13","Kurukshetra","144","912","24824","23549[314]","94.86","363","131","729","23","1312966"
"14","Mahindergarh","126","572","22722","21994[56]","96.80","156","113","374","54","1221500"
"15","Jind","145","867","23069","21666[117]","93.92","536[1]","296","897","5","1531781"
"16","Rewari","118","1028","22801","21552[111]","94.52","221","156","260","69","1416009"
"17","Jhajjar","177","764","21505","20407[228]","94.89","328","451","672","16","1437202"
"18","Fatehabad","71","606","19007","17916[28]","94.26","485","166","291","12","1132778"
"19","Kaithal","137","1002","12822","11470[85]","89.46","350","54","179","21","1509071"
"20","Palwal","43","256","11417","11008[13]","96.42","153","547","1344","13","1348058"
"21","Charkhi Dadri","104","461","5925","5325[20]","89.87","139","66","489","12","794401"
"22","Nuh","41","173","5501","5203[46]","94.58","125","799","2006","0","1037632"
"Haryana","","7516","57753","908819","840866[7683]","92.52","10177[12]","13762","23545","2325","38673509"
