"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","563","859","5653"
"Kollam","255","535","1411"
"Pathanamthitta","182","145","758"
"Alappuzha","164","72","606"
"Kottayam","262","561","3271"
"Idukki","115","166","1677"
"Ernakulam","680","760","5391"
"Thrissur","263","481","2877"
"Palakkad","92","71","573"
"Malappuram","166","93","1748"
"Kozhikode","354","728","4496"
"Wayanad","90","103","1189"
"Kannur","228","327","1937"
"Kasaragod","57","65","846"
"Total","3471","4966","32433"
