"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20238","19960","11","267"
"2","Chengalpattu","252307","249220","427","2660"
"3","Chennai","789847","778385","2392","9070"
"4","Coimbatore","340152","337174","360","2618"
"5","Cuddalore","75784","74827","61","896"
"6","Dharmapuri","36809","36511","15","283"
"7","Dindigul","38960","38223","72","665"
"8","Erode","136164","135248","182","734"
"9","Kallakurichi","36932","36705","12","215"
"10","Kancheepuram","98005","96668","34","1303"
"11","Kanyakumari","89855","88539","230","1086"
"12","Karur","30243","29846","25","372"
"13","Krishnagiri","62129","61592","165","372"
"14","Madurai","93052","91740","76","1236"
"15","Mayiladuthurai","27370","26976","64","330"
"16","Nagapattinam","25973","25585","13","375"
"17","Namakkal","69694","69119","41","534"
"18","Nilgiris","42834","42559","49","226"
"19","Perambalur","14905","14625","31","249"
"20","Pudukottai","35226","34774","26","426"
"21","Ramanathapuram","24996","24617","11","368"
"22","Ranipet","56378","55522","69","787"
"23","Salem","131467","129541","162","1764"
"24","Sivagangai","25091","24819","53","219"
"25","Tenkasi","33875","33362","23","490"
"26","Thanjavur","93484","92392","51","1041"
"27","Theni","51831","51275","23","533"
"28","Thirupathur","36082","35443","6","633"
"29","Thiruvallur","153193","151180","71","1942"
"30","Thiruvannamalai","68299","67597","17","685"
"31","Thiruvarur","48962","48481","8","473"
"32","Thoothukudi","67176","66669","59","448"
"33","Tirunelveli","65911","65366","100","445"
"34","Tiruppur","132012","130859","100","1053"
"35","Trichy","97969","96688","120","1161"
"36","Vellore","58086","56885","38","1163"
"37","Villupuram","56255","55854","34","367"
"38","Virudhunagar","59367","58699","113","555"
"39","Airport Surveillance 
(International)","1394","1388","5","1"
"40","Airport Surveillance 
(Domestic)","1166","1165","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,79,901","35,36,506","5,349","38,046"
