"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,687"
"2","Number of persons tested positive today in Tamil Nadu","2,718"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-3 
Bangladesh-1"
"","Total","2,722"
"3","Total Number of persons tested positive till date","34,96,321"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","32,614/ 
6,74,00,039@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","31,810/ 
6,62,15,166"
"6","No. of Male / Female / Transgender tested positive today","1,495/1,227/0"
"7","No. of Male / Female / Transgender tested positive till date","20,38,903/14,57,380/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","341 (70 Govt+ 
271$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,413/ 
34,39,606"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
