District,Recovered,Deceased,Active
लखनऊ,288345,2681,2862
झ सी,42496,674,1246
गौतम बिु नगर,95437,488,1011
िाराणसी,95978,985,843
प्रय गर ज,86089,1103,691
लखीमपरु-खीरी,28790,298,629
र य बरेली,20342,346,576
गाज़ियाबाद,83065,473,559
गोरखपरु,65132,861,456
मरेठ,87482,930,336
श हजह परु,23776,446,316
ब र बकी,23045,226,311
कानपरु नगर,90722,1921,298
हरदोई,16549,362,289
सीत परु,15169,187,284
उन्न व,16457,256,267
बरेली,49608,377,264
पीलीभीत,12338,203,256
लललतपरु,14155,130,252
बद य,17500,101,249
बलुदंशहर,25929,249,224
आजमगढ़,19101,234,222
देवररय,22010,227,218
ज लौन,13439,206,213
कन्नौज,10440,121,212
सलु्त नपरु,16483,144,204
मह र जगज,14160,145,198
फतहेपरु,7902,141,186
आगरा,35112,464,185
गाजीपरु,23605,293,182
लसद्ध र् नगर,11216,102,180
जौनपरु,24003,243,176
सोनभद्र,18359,256,160
अलीगढ,25208,113,157
मजुफ्फरनगर,38082,277,148
बहर इच,13090,178,147
मरुादाबाद,45859,366,146
भदोही,8263,164,129
हमीरपरु,5797,102,123
क नपरु देह त,6867,110,123
मर्रु,25326,406,123
गोंड,13860,283,116
अम्बडेकर नगर,5708,160,115
