"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 28-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","27","106","300181","299049[23]","99.62","1026","59","92","376","5706647"
"2","Faridabad","0","13","135589","134835[2]","99.44","741","31","49","116","4179173"
"3","Hisar","1","10","63847","62655[6]","98.13","1182","29","46","90","2433398"
"4","Sonipat","0","1","59574","59297[1]","99.54","276","7","58","34","2357909"
"5","Karnal","6","11","49877","49266","98.77","600","19","25","45","2465940"
"6","Panchkula","4","10","48331","47900[13]","99.11","421","3","8","98","1177558"
"7","Ambala","0","11","42820","42267[3]","98.71","542","26","64","174","2207663"
"8","Panipat","1","8","36750","36065","98.14","677","0","0","28","2129707"
"9","Sirsa","1","2","34209","33661[1]","98.40","546","5","16","21","1988020"
"10  Rohtak","","2","5","33161","32602[2]","98.31","537","6","18","58","1813148"
"","11  Yamunanagar","1","18","32664","32188[7]","98.54","458","7","253","26","2039466"
"","12  Kurukshetra","0","5","27805","27393[3]","98.52","407","13","14","106","1626406"
"13  Bhiwani","","0","3","27163","26493[1]","97.53","667","0","12","40","1880807"
"14","Jind","0","0","25404","24860","97.86","544","10","22","108","1780665"
"","15  Mahendragarh","0","0","24999","24834","99.34","165","7","40","139","1447154"
"16  Rewari","","3","3","24985","24758","99.09","224","26","34","114","1627394"
"17","Jhajjar","1","5","24093","23728","98.49","354","5","15","94","1633914"
"18  Fatehabad","","1","1","20291","19790[4]","97.53","500","0","16","12","1214125"
"19  Kaithal","","0","1","15194","14817","97.52","376","13","71","648","1894270"
"20  Palwal","","0","2","13657","13480","98.70","175","4","7","56","1577504"
"21","Charkhi Dadri","0","0","8069","7922","98.18","147","2","0","2","954088"
"22  Nuh","","0","1","6179","6039","97.73","139","0","5","1","1227260"
"Haryana","","48","216","1054842","1043899[66]","98.96","10704","270","865","2386","45362216"
