"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87845","110","85618","2117"
"2","SAS Nagar","69191","114","68003","1074"
"3","Jalandhar","63682","112","62069","1501"
"4","Patiala","49272","244","47664","1364"
"5","Amritsar","47480","24","45857","1599"
"6","Bathinda","41889","72","40768","1049"
"7","Hoshiarpur","31040","24","30019","997"
"8","Gurdaspur","22449","31","21614","804"
"9","Fazilka","20295","9","19755","531"
"10","Pathankot","19237","211","18592","434"
"11","Muktsar","18810","3","18283","524"
"12","Kapurthala","17931","23","17352","556"
"13","Sangrur","15774","4","14895","875"
"14","Mansa","15612","2","15229","381"
"15","Ferozepur","14485","4","13977","504"
"16","Faridkot","13964","5","13639","320"
"17","Ropar","13016","7","12581","428"
"18","SBS Nagar","11495","9","11096","390"
"19","FG Sahib","8926","15","8573","338"
"20","Moga","8689","4","8451","234"
"21","Tarn Taran","8084","5","7698","381"
"22","Barnala","5960","9","5707","244"
"","Total","605126","1041","587440","16645"
