"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","166","223","1673"
"Kollam","84","108","225"
"Pathanamthitta","82","100","444"
"Alappuzha","57","99","354"
"Kottayam","128","189","1458"
"Idukki","82","159","944"
"Ernakulam","181","111","2274"
"Thrissur","117","83","939"
"Palakkad","46","132","53"
"Malappuram","35","69","441"
"Kozhikode","81","150","742"
"Wayanad","42","86","484"
"Kannur","46","90","364"
"Kasaragod","28","13","116"
"Total","1175","1612","10511"
