"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","158","1060924","0","19566"
"2","Thane","2","118063","0","2289"
"3","TMC","12","189794","0","2163"
"4","Navi Mumbai","16","166946","0","2090"
"5","KDMC","1","176210","0","2973"
"6","Ulhasnagar MC","0","26525","0","680"
"7","Bhivandi Nijampur MC","0","13149","0","496"
"8","Mira Bhayandar MC","3","76664","0","1227"
"9","Palghar","2","64673","0","1244"
"10","Vasai Virar MC","0","98967","0","2163"
"11","Raigad","1","138327","0","3463"
"12","Panvel MC","2","106122","0","1482"
"","Mumbai circle total","197","2236364","0","39836"
"13","Nashik","1","183755","0","3813"
