"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","47","78","451"
"Kollam","14","27","102"
"Pathanamthitta","23","7","147"
"Alappuzha","6","14","110"
"Kottayam","35","49","364"
"Idukki","13","9","95"
"Ernakulam","60","84","698"
"Thrissur","9","49","72"
"Palakkad","7","3","45"
"Malappuram","4","3","122"
"Kozhikode","29","28","200"
"Wayanad","2","15","49"
"Kannur","6","8","25"
"Kasaragod","1","4","22"
"Total","256","378","2502"
