"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109708","37","107394","2277"
"2","SAS Nagar","95622","69","94408","1145"
"3","Jalandhar","78218","37","76603","1578"
"4","Patiala","61996","22","60517","1457"
"5","Amritsar","59373","25","57666","1682"
"6","Bathinda","50829","14","49727","1088"
"7","Hoshiarpur","40795","26","39676","1093"
"8","Gurdaspur","26920","14","26043","863"
"9","Pathankot","24494","31","23968","495"
"10","Fazilka","23356","30","22781","545"
"11","Muktsar","22539","9","21992","538"
"12","Kapurthala","22009","8","21422","579"
"13","Ropar","17928","8","17465","455"
"14","Ferozepur","17883","9","17343","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16722","11","16373","338"
"17","Sangrur","14305","2","13568","735"
"18","SBS Nagar","13388","2","12980","406"
"19","FG Sahib","11829","4","11471","354"
"20","Moga","10979","4","10721","254"
"21","Tarn Taran","10882","6","10482","394"
"22","Barnala","7485","14","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758453","383","740350","17720"
