"","","","","","","","","","",""
"","","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"1","Bagalakote","1","40680","0","40311","2","0","367","0",""
"2","Ballari","2","115510","0","113725","20","0","1763","2",""
"3","Belagavi","0","100121","2","99101","17","0","1001","2",""
"4","Bengaluru Rural*","0","79274","0","78358","10","0","906","0",""
"5","Bengaluru 
 
Urban*","81","1781141","97","1762556","1631","1","16953","1",""
"6","Bidar","0","29806","2","29382","0","0","420","4",""
"7","Chamarajanagara","0","43615","1","43080","0","0","524","11",""
"8","Chikkaballapura","0","55625","2","55156","9","0","459","1",""
"9","Chikkamagaluru","0","57241","1","56831","4","0","406","0",""
"10","Chitradurga","0","46312","12","46046","27","0","239","0",""
"11","Dakshina 
Kannada","1","135473","2","133607","17","0","1839","10",""
"12","Davanagere","0","57534","2","56911","0","0","623","0",""
"13","Dharwada","2","84069","2","82671","8","0","1383","7",""
"14","Gadag","0","30583","0","30248","0","0","335","0",""
"15","Hassana","0","143856","0","142546","1","0","1307","2",""
"16","Haveri","0","26839","0","26169","1","1","669","0",""
"17","Kalaburagi","1","76599","3","75707","12","0","880","0",""
"18","Kodagu","0","49263","0","48909","1","0","352","1",""
"19","Kolara","1","62986","1","62317","5","0","664","0",""
"20","Koppala","0","41281","0","40743","0","0","538","0",""
"21","Mandya","0","101481","0","100767","3","0","711","0",""
"22","Mysuru","0","229447","14","226874","15","0","2558","0",""
"23","Raichuru","0","45447","0","45081","2","0","364","0",""
"24","Ramanagara","0","29791","0","29440","4","0","347","0",""
"25","Shivamogga","2","83323","1","82175","19","0","1128","1",""
"26","Tumakuru","0","159830","1","158603","11","0","1216","0",""
"27","Udupi","1","95595","0","95043","6","0","546","0",""
"28","Uttara Kannada","0","71161","0","70345","7","0","809","0",""
"29","Vijayapura","0","40996","0","40473","4","0","519","0",""
"30","Yadagiri","0","29962","0","29748","2","0","212","0",""
"31","Others*","0","36","0","33","0","0","3","0",""
"Total","","92","3944877","143","3902956","1838","2","40041","42",""
"*
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
* Reconciled  
 
 
Date:22-03-2022 
Page 5 of 7","","","","","","","","","",""
