"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
02-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","19","181742","180741[9]","99.45","924","77","2764","8722","3878328"
"2","Faridabad","2","99954","99207[4]","99.25","717","30","2692","7782","2751140"
"3","Hisar","0","53999","52860","97.89","1136","3","1029","4910","1440794"
"4","Sonepat","0","47144","46886[1]","99.45","254","4","1285","4975","1551085"
"5","Karnal","0","40041","39488","98.62","552","1","1190","4657","1595893"
"6","Panipat","1","31154","30515","97.95","638","1","1981","5645","1268697"
"7","Panchkula","1","30838","30436[4]","98.70","379","23","416","1790","800350"
"8","Ambala","2","30152","29641","98.31","509","2","683","4991","1585327"
"9","Sirsa","0","29283","28775","98.27","508","0","2199","5021","1206083"
"10","Rohtak","1","25917","25364","97.87","534","2","1405","3119","1099994"
"11","Yamunanagar","1","24647","24225","98.29","414","8","656","4787","1258143"
"12","Bhiwani","0","22410","21758","97.09","652","0","945","7694","1228240"
"13","Kurukshetra","0","22153","21795","98.38","357","1","638","3527","942249"
"14","Mahindergarh","0","21689","21534","99.29","155","0","619","2946","936492"
"15","Jind","0","21210","20677","97.49","533","0","834","3718","1073542"
"16","Rewari","0","20329","20108","98.91","221","0","726","3658","1056136"
"17","Jhajjar","0","18850","18516","98.23","328","0","769","3007","1096030"
"18","Fatehabad","0","17880","17398","97.30","482","0","347","1799","838275"
"19","Kaithal","0","11247","10899","96.91","346","2","894","4703","975909"
"20","Palwal","0","11028","10875","98.61","153","0","1952","3417","977274"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","365","1823","672601"
"22","Nuh","0","5014","4891","97.55","123","0","7809","1211","707037"
"Total","","27","771760","761528[18]","98.68","10054","155","32198","93902","28939619"
