,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,991264,347616,353285,290363,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340667,2325925,14733,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,110957002,44704291,47578752,18673959,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,3,0,3,0,2,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67021,66704,296,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,1924584,961348,821819,141417,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,0,0,4,1,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855103,842659,12314,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,157287213,73485131,67912120,15889962,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,8,3,54,65,9,27,0,,,1332900000,Bihar,119520000
5,Chandigarh,100673,99476,1185,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,2291192,1185671,991036,114485,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,4,4,2,3,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187546,1173202,14188,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,49167777,21267776,20343730,7556271,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,1,18,0,19,27,58,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,1579870,782350,636961,160559,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040608,2013856,26658,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,37407557,18297194,15717148,3393215,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,4,10,0,14,12,30,0,,,1332900000,Delhi,19814000
9,Goa,263066,258908,4014,2023-05-24,TT,44987891,531849,44449451,2023-06-10 04:06:37.395468,929699864,2023-05-23 00:00:00,109695,2206674333,1027407470,951973568,227293295,2874475,1440045,1295735,138695,https://www.icmr.gov.in/,552,6,1059,863,364,104,1331,0,0,0,0,14,41,0,,,1332900000,Goa,1540000
