,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10025,9894,129,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,660747,328822,322289,9636,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,31,228,125,384,0,1,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2318801,2303438,14730,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,87702738,43076204,43093125,1533409,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,1184,222871,9271,233326,50,77,1,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,64481,64154,296,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,1645289,890297,730443,24549,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,90,378,58,526,1,3,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,724171,716166,6639,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,43624953,23427101,19923458,274394,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,2757,21437,1291,25485,1,3,0,,,1332900000,Assam,34293000
4,Bihar,830364,818012,12255,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,121877745,66707904,54353718,816123,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,26601,122584,3349,152534,14,15,0,,,1332900000,Bihar,119520000
5,Chandigarh,91854,90630,1165,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,2047084,1125863,895598,25623,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,220,1082,111,1413,9,10,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1151784,1137376,14034,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,37398536,19707923,17286122,404491,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,4004,30709,2008,36721,35,83,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11440,11436,4,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,1364475,755609,600616,8250,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,33,201,24,258,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,1862802,1835869,26141,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,31769226,17334100,13991316,443810,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,4230,31346,2855,38431,161,228,1,,,1332900000,Delhi,19814000
9,Goa,245200,241271,3830,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,2654665,1393562,1229762,31341,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,59,239,27,325,13,15,0,,,1332900000,Goa,1540000
10,Gujarat,1223562,1212064,10938,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,103965055,52113767,49677431,2173857,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,7192,43735,8814,59741,47,53,0,,,1332900000,Gujarat,67936000
11,Haryana,983898,972499,10586,2022-03-13,TT,42990991,515850,42437072,2022-03-13 12:56:56.051766,778520151,2022-03-12 00:00:00,761737,1800422531,968704176,811729270,19989085,41390651,22896355,18243947,250349,https://www.icmr.gov.in/,3116,47,5559,87090,1830931,246541,2164562,2552,13684,977,17213,112,157,1,,,1332900000,Haryana,28672000
