Ditrict,Recovered,Deceased,Active
हापड़,15055.0,222.0,97.0
मुरादाबाद,45929.0,366.0,97.0
ाव ती,5026.0,39.0,93.0
बजनौर,18147.0,139.0,86.0
कुशीनगर,16057.0,235.0,85.0
तापगढ़,16539.0,163.0,79.0
बादा,11887.0,164.0,76.0
मथुरा,25386.0,406.0,75.0
इटावा,15635.0,296.0,73.0
अयो या,18519.0,292.0,71.0
ब ती,12661.0,336.0,71.0
सहारनपर,38221.0,425.0,71.0
फ खाबाद,11775.0,197.0,68.0
हमीरपर,5881.0,102.0,66.0
चंदौल,17413.0,376.0,64.0
शामल,16584.0,48.0,62.0
कौशा बी,4742.0,72.0,60.0
औरै या,10696.0,210.0,51.0
रामपर,14544.0,152.0,50.0
संभल,10965.0,108.0,44.0
मज़ापर,11885.0,121.0,42.0
मैनपर,11389.0,189.0,40.0
महोबा,4393.0,88.0,39.0
संत कबीर नगर,8774.0,100.0,39.0
एटा,12023.0,100.0,36.0
बागपत,10949.0,140.0,35.0
मऊ,8880.0,85.0,33.0
च कूट,7687.0,79.0,31.0
फरोजाबाद,10462.0,136.0,23.0
बलरामपर,8046.0,139.0,22.0
ब लया,22476.0,245.0,20.0
हाथरस,3687.0,43.0,16.0
कासगंज,4835.0,55.0,15.0
