District,Recoverd,Deceased,Active
लखनऊ,289195.0,2681.0,2721.0
झासी,42735.0,674.0,954.0
गौतम बध नगर,95837.0,488.0,796.0
वाराणसी,96254.0,988.0,704.0
लखीमपर-खीर,28997.0,298.0,599.0
यागराज,86329.0,1103.0,531.0
राय बरेल,20510.0,346.0,511.0
गािज़याबाद,83263.0,473.0,462.0
गोरखपर,65245.0,862.0,411.0
हरदोई,16625.0,363.0,313.0
शाहजहापर,23938.0,446.0,285.0
बरेल,49687.0,377.0,256.0
ल लतपर,14210.0,131.0,252.0
बाराबक,23150.0,226.0,248.0
मरठ,87609.0,930.0,239.0
सीतापर,15308.0,187.0,228.0
कानपर नगर,90843.0,1921.0,224.0
सु तानपर,16523.0,144.0,216.0
महाराजगंज,14246.0,145.0,206.0
उ नाव,16547.0,257.0,206.0
पील भीत,12437.0,203.0,189.0
बदायू,17612.0,101.0,186.0
स धाथ नगर,11283.0,102.0,182.0
जालौन,13551.0,207.0,177.0
फतहपर,7950.0,141.0,171.0
क नौज,10523.0,124.0,170.0
आगरा,35195.0,464.0,163.0
बलंदशहर,26033.0,250.0,161.0
आजमगढ़,19208.0,234.0,143.0
देव रया,22120.0,227.0,135.0
जौनपर,24076.0,244.0,135.0
ग डा,13889.0,283.0,131.0
गाजीपर,23694.0,293.0,126.0
सोनभ,18425.0,257.0,125.0
मुज फरनगर,38117.0,277.0,124.0
बहराइच,13164.0,178.0,117.0
अल गढ,25281.0,113.0,115.0
अमठ,11247.0,145.0,115.0
अमरोहा,19098.0,205.0,108.0
भदोह,8307.0,165.0,107.0
कानपर देहात,6921.0,110.0,107.0
अ बडकर नगर,5744.0,160.0,97.0
