"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87655","15","85530","2110"
"2","SAS Nagar","68938","52","67815","1071"
"3","Jalandhar","63478","33","61947","1498"
"4","Patiala","48967","22","47585","1360"
"5","Amritsar","47424","8","45818","1598"
"6","Bathinda","41780","29","40708","1043"
"7","Hoshiarpur","30905","35","29879","991"
"8","Gurdaspur","22401","14","21585","802"
"9","Fazilka","20281","6","19746","529"
"10","Pathankot","18920","46","18448","426"
"11","Muktsar","18801","17","18260","524"
"12","Kapurthala","17866","3","17307","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14387","12","13871","504"
"16","Faridkot","13944","5","13621","318"
"17","Ropar","12979","4","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8901","13","8552","336"
"20","Moga","8682","0","8448","234"
"21","Tarn Taran","8061","10","7670","381"
"22","Barnala","5954","8","5702","244"
"","Total","603173","335","586245","16593"
