"","","","","","","","","","","","reasons#"
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid",""
"","1","Bagalakote","49","35296","0","34866","97","0","333","0",""
"","2","Ballari","400","99115","15","96126","1300","0","1689","0",""
"","3","Belagavi","227","81589","44","79244","1396","0","949","0",""
"","4","Bengaluru Rural","418","63941","45","61445","1601","3","895","0",""
"","5","Bengaluru Urban","20121","1373452","1695","1247696","109312","7","16443","1",""
"","6","Bidar","131","24835","0","23988","439","0","404","4",""
"","7","Chamarajanagara","106","33687","12","32624","548","0","504","11",""
"","8","Chikkaballapura","246","44795","27","43625","736","1","433","1",""
"","9","Chikkamagaluru","174","52058","25","51119","541","0","398","0",""
"","10","Chitradurga","104","37192","7","36586","394","0","212","0",""
"","11","Dakshina 
Kannada","639","120183","299","115487","2990","0","1699","7",""
"","12","Davanagere","187","51601","36","50481","512","0","608","0",""
"","13","Dharwada","338","63255","87","60580","1348","0","1325","2",""
"","14","Gadag","110","26386","9","25784","283","0","319","0",""
"","15","Hassana","654","114705","58","111233","2207","0","1263","2",""
"","16","Haveri","25","22035","1","21321","71","0","643","0",""
"","17","Kalaburagi","338","63355","30","61263","1266","0","826","0",""
"","18","Kodagu","104","38237","30","37460","438","0","338","1",""
"","19","Kolara","502","48752","71","46732","1376","0","644","0",""
"","20","Koppala","49","35375","9","34684","163","0","528","0",""
"","21","Mandya","554","76549","239","73920","1971","1","658","0",""
"","22","Mysuru","803","184223","160","178328","3462","2","2433","0",""
"","23","Raichuru","172","40428","2","39666","429","0","333","0",""
"","24","Ramanagara","239","24859","4","23932","603","0","324","0",""
"","25","Shivamogga","315","71037","24","68650","1297","0","1090","0",""
"","26","Tumakuru","796","124188","46","120305","2738","0","1145","0",""
"","27","Udupi","497","79895","76","77069","2335","0","491","0",""
"","28","Uttara Kannada","301","57856","35","55980","1097","0","779","0",""
"","29","Vijayapura","106","36708","19","35896","316","0","496","0",""
"","30","Yadagiri","18","27624","0","27347","71","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","28723","3153247","3105","2973470","141337","14","38411","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 14-01-2022 
 Page 5 of 13","","","","","","","","","",""
"","","","","","","","","","","",""
