,Unnamed: 0,44,Unnamed: 1,बादा,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,12061,Unnamed: 5,0.2,Unnamed: 6,166,Unnamed: 7,2,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,भदोही,,1.0,,0.0,,8486.0,,0.0,,165.0,,2.0,,,,,
1,,46,,बबजनौर,,0.0,,0.0,,18290.0,,0.0,,139.0,,2.0,,,,,
2,,47,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,2.0,,,,,
3,,48,,हापड़ु,,1.0,,0.0,,15196.0,,0.0,,224.0,,2.0,,,,,
4,,49,,जालौन,,0.0,,0.0,,13858.0,,0.0,,209.0,,2.0,,,,,
5,,50,,पीलीभीत,,1.0,,0.0,,12730.0,,0.0,,205.0,,2.0,,,,,
6,,51,,शाहजहांपरु,,0.0,,0.0,,24405.0,,0.0,,447.0,,2.0,,,,,
7,,52,,लसद्धाथ ुनगर,,0.0,,0.0,,11525.0,,0.0,,102.0,,2.0,,,,,
8,,53,,अमठेी,,0.0,,0.0,,11517.0,,0.0,,145.0,,1.0,,,,,
9,,54,,बस्ती,,0.0,,0.0,,12803.0,,0.0,,337.0,,1.0,,,,,
10,,55,,मनैपरुी,,0.0,,0.0,,11486.0,,0.0,,189.0,,1.0,,,,,
11,,56,,प्रतापगढ़,,0.0,,2.0,,16755.0,,0.0,,163.0,,1.0,,,,,
12,,57,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
13,,58,,श्रावस्ती,,0.0,,0.0,,5235.0,,0.0,,42.0,,1.0,,,,,
14,,59,,सीतापरु,,0.0,,0.0,,15767.0,,0.0,,187.0,,1.0,,,,,
15,,60,,सोनभद्र,,0.0,,0.0,,18658.0,,0.0,,257.0,,1.0,,,,,
16,,61,,अयोध्या,,0.0,,0.0,,18681.0,,0.0,,293.0,,0.0,,,,,
17,,62,,बदाय,,0.0,,0.0,,17914.0,,0.0,,101.0,,0.0,,,,,
18,,63,,बागपत,,0.0,,0.0,,11067.0,,0.0,,144.0,,0.0,,,,,
19,,64,,बललया,,0.0,,0.0,,22518.0,,0.0,,246.0,,0.0,,,,,
20,,65,,बलरामपरु,,0.0,,0.0,,8123.0,,0.0,,139.0,,0.0,,,,,
21,,66,,बहराइच,,0.0,,0.0,,13417.0,,0.0,,178.0,,0.0,,,,,
22,,67,,देवररया,,0.0,,0.0,,22409.0,,0.0,,230.0,,0.0,,,,,
23,,68,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
24,,69,,हाथरस,,0.0,,0.0,,3719.0,,0.0,,43.0,,0.0,,,,,
25,,70,,कानपरु देहात,,0.0,,0.0,,7127.0,,0.0,,111.0,,0.0,,,,,
26,,71,,कासगजं,,0.0,,0.0,,4887.0,,0.0,,55.0,,0.0,,,,,
27,,72,,कौशाम्बी,,0.0,,0.0,,4880.0,,0.0,,72.0,,0.0,,,,,
28,,73,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,0.0,,,,,
29,,74,,मऊ,,0.0,,0.0,,8940.0,,0.0,,86.0,,0.0,,,,,
30,,75,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
31,,Total,,,,,,,199.0,,244.0,,2050188.0,,0.0,,23508.0,,1641.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23508 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
