"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"4","Raigad","252981","247781","4958","242"
"5","Ratnagiri","85227","82603","2552","72"
"6","Sindhudurg","57730","56128","1536","66"
"7","Pune","1490466","1466964","20578","2924"
"8","Satara","279719","272864","6740","115"
"9","Sangli","228319","222470","5666","183"
"10","Kolhapur","221248","215193","5912","143"
"11","Solapur","228844","222798","5888","158"
"12","Nashik","476913","467513","8916","484"
"13","Ahmednagar","379923","372353","7250","320"
"14","Jalgaon","150108","147301","2762","45"
"15","Nandurbar","46880","45857","963","60"
"16","Dhule","51328","50600","670","58"
"17","Aurangabad","178301","173808","4288","205"
"18","Jalna","67358","66093","1224","41"
"19","Beed","109609","106655","2887","67"
"20","Latur","105990","103304","2489","197"
"21","Parbhani","58735","57426","1280","29"
"22","Hingoli","22419","21869","515","35"
"23","Nanded","103162","100356","2704","102"
"24","Osmanabad","76217","73908","2139","170"
"25","Amravati","106804","105069","1625","110"
"26","Akola","66816","65304","1475","37"
"27","Washim","47190","46445","641","104"
