"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
12-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181525","180540[10]","99.46","922","63","3244","9016","3671296"
"2","Faridabad","1","99912","99191[4]","99.28","716","5","2497","6230","2566540"
"3","Hisar","0","53996","52859","97.89","1136","1","547","2244","1359688"
"4","Sonepat","0","47139","46884","99.46","254","1","1721","3705","1444887"
"5","Karnal","0","40039","39485","98.62","552","2","1149","4913","1493722"
"6","Panipat","1","31153","30512","97.94","638","3","2120","2982","1139572"
"7","Panchkula","0","30783","30395[1]","98.74","379","9","649","2581","754516"
"8","Ambala","0","30150","29641","98.31","509","0","776","5253","1487371"
"9","Sirsa","0","29282","28774","98.27","508","0","1543","3912","1094664"
"10","Rohtak","0","25913","25352","97.84","534","10","1115","2489","1021181"
"11","Yamunanagar","0","24635","24217","98.30","414","4","571","2657","1196537"
"12","Bhiwani","0","22409","21757","97.09","652","0","747","4767","1113003"
"13","Kurukshetra","0","22150","21791","98.38","357","2","892","2925","877624"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1055","3134","869690"
"15","Jind","0","21209","20676","97.49","533","0","1398","2583","997922"
"16","Rewari","0","20329","20106","98.90","221","2","1200","2588","970165"
"17","Jhajjar","0","18849","18515","98.23","328","0","815","4582","1023128"
"18","Fatehabad","1","17877","17394","97.30","481","2","418","1414","793024"
"19","Kaithal","0","11246","10898","96.91","346","2","998","4101","857936"
"20","Palwal","0","11026","10872","98.60","153","1","1142","2878","868087"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","152","905","641829"
"22","Nuh","0","5014","4891","97.55","123","0","1854","902","453394"
"Total","","15","771403","761223[15]","98.68","10050","107","26603","76761","26695776"
