,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2022-12-20,TT,Andaman and Nicobar Islands,,,,10741,129,10612,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
1,2022-12-20,TT,Andhra Pradesh,,,,2339063,14733,2324327,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
2,2022-12-20,TT,Arunachal Pradesh,,,,66890,296,66593,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
3,2022-12-20,TT,Assam,,,,746100,8035,738065,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
4,2022-12-20,TT,Bihar,,,,851365,12302,839057,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
5,2022-12-20,TT,Chandigarh,,,,99342,1181,98159,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
6,2022-12-20,TT,Chhattisgarh,,,,1177741,14146,1163592,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
7,2022-12-20,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11591,4,11587,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
8,2022-12-20,TT,Delhi,,,,2007090,26519,1980542,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
9,2022-12-20,TT,Goa,,,,259058,4013,255032,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
10,2022-12-20,TT,Gujarat,,,,1277513,11043,1266446,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
11,2022-12-20,TT,Haryana,,,,1056569,10714,1045816,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
12,2022-12-20,TT,Himachal Pradesh,,,,312613,4213,308383,,,2022-12-20 17:55:51.184181,,,,44676199,530677,44142032,909284443,2200092109
