"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
Persons 
Hospitalized"
"East Garo Hills","0","0","0","2060","18","7","0"
"East Jaintia Hills","2","0","0","2631","38","3","0"
"East Khasi Hills","22","13","0","47455","1076","141","39"
"Eastern West Khasi Hills","0","0","0","145","8","3","0"
"North Garo Hills","0","0","0","1892","9","6","0"
"Ri-Bhoi","4","6","0","10445","99","53","1"
"South Garo Hills","0","0","0","1357","13","13","0"
"South West Garo Hills","5","2","0","2131","21","28","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","52","17","0","11156","81","305","11"
"West Jaintia Hills","3","1","0","7216","139","15","3"
"West Khasi Hills","0","0","0","5662","78","3","0"
"Total","88","39","0","94851","1600","577","54"
